Y	M	L	ENSO	(m,m0)_(CV)
1982 01 0 0 22.1 29.4
1983 01 0 1 46.5 6.58
1984 01 0 1 26.1 25.9
1985 01 0 1 78.4 164.7
1986 01 0 1 18.4 28.8
1987 01 0 1 61.5 98.3
1988 01 0 1 13.5 8.41
1989 01 0 1 3.14 2.38
1990 01 0 0 26.3 0.209
1991 01 0 1 31.8 17.4
1992 01 0 1 129.2 354.2
1993 01 0 0 27.8 28.2
1994 01 0 0 1.33 0.454
1995 01 0 1 0.605 0.913
1996 01 0 1 2.36 1.92
1997 01 0 0 10.0 20.9
1998 01 0 1 8.87 9.43
1999 01 0 1 0.950 0.0
2000 01 0 1 0.329 0.0
2001 01 0 1 77.1 70.3
2002 01 0 0 6.30 23.7
2003 01 0 1 16.7 35.7
2004 01 0 0 2.42 1.21
2005 01 0 1 120.1 207.4
2006 01 0 1 14.9 16.4
2007 01 0 1 37.9 47.1
2008 01 0 1 20.5 26.5
2009 01 0 1 27.2 41.0
2010 01 0 1 13.4 6.65
2011 01 0 1 24.3 26.4
2012 01 0 1 3.66 4.41
2013 01 0 0 2.70 0.0
2014 01 0 0 8.35 4.04
2015 01 0 1 32.7 32.5
2016 01 0 1 39.7 44.0
1982 01 1 0 18.9379
1983 01 1 1 19.4451
1984 01 1 1 16.7364
1985 01 1 1 29.9812
1986 01 1 1 19.3969
1987 01 1 1 42.8025
1988 01 1 1 18.6979
1989 01 1 1 6.15992
1990 01 1 0 4.4549
1991 01 1 1 20.8169
1992 01 1 1 58.3881
1993 01 1 0 24.4955
1994 01 1 0 5.9721
1995 01 1 1 14.832
1996 01 1 1 8.63174
1997 01 1 0 20.5708
1998 01 1 1 22.2764
1999 01 1 1 0.522469
2000 01 1 1 0.432529
2001 01 1 1 33.7136
2002 01 1 0 16.9675
2003 01 1 1 23.2341
2004 01 1 0 10.0204
2005 01 1 1 38.3094
2006 01 1 1 7.41514
2007 01 1 1 27.4095
2008 01 1 1 26.5639
2009 01 1 1 15.3108
2010 01 1 1 11.19
2011 01 1 1 15.5747
2012 01 1 1 23.4846
2013 01 1 0 0.496856
2014 01 1 0 9.91776
2015 01 1 1 18.6983
2016 01 1 1 9.28865
1982 02 2 0 23.4056
1983 02 2 1 74.2911
1984 02 2 0 30.1052
1985 02 2 1 120.172
1986 02 2 1 20.3016
1987 02 2 1 80.5551
1988 02 2 0 14.1681
1989 02 2 1 1.43783
1990 02 2 0 21.6878
1991 02 2 0 34.4021
1992 02 2 1 168.839
1993 02 2 1 22.5651
1994 02 2 0 1.51855
1995 02 2 1 0.815083
1996 02 2 1 2.1965
1997 02 2 0 8.78062
1998 02 2 1 7.51637
1999 02 2 1 0.901023
2000 02 2 1 0.287187
2001 02 2 1 92.736
2002 02 2 0 5.17187
2003 02 2 1 16.5367
2004 02 2 0 1.72413
2005 02 2 0 186.177
2006 02 2 1 13.1813
2007 02 2 0 47.5907
2008 02 2 1 24.1889
2009 02 2 1 38.0601
2010 02 2 1 12.4397
2011 02 2 1 26.7269
2012 02 2 1 2.02214
2013 02 2 0 1.06598
2014 02 2 0 3.46499
2015 02 2 1 19.3607
2016 02 2 1 25.4535
1982 03 3 0 3.34859
1983 03 3 1 12.1212
1984 03 3 0 16.9565
1985 03 3 1 64.372
1986 03 3 0 10.2079
1987 03 3 1 67.4695
1988 03 3 0 12.6809
1989 03 3 1 37.2522
1990 03 3 0 6.48765
1991 03 3 0 11.12
1992 03 3 1 289.999
1993 03 3 1 26.7356
1994 03 3 0 7.31591
1995 03 3 0 1.86665
1996 03 3 0 6.16836
1997 03 3 0 115.115
1998 03 3 1 13.5115
1999 03 3 1 0.0102208
2000 03 3 1 2.39382
2001 03 3 0 90.9437
2002 03 3 0 24.2446
2003 03 3 1 8.2359
2004 03 3 0 13.4971
2005 03 3 0 57.1811
2006 03 3 1 5.1079
2007 03 3 0 8.36673
2008 03 3 1 31.2393
2009 03 3 1 53.0142
2010 03 3 1 28.5233
2011 03 3 1 44.262
2012 03 3 0 15.1768
2013 03 3 0 4.29862
2014 03 3 0 2.88081
2015 03 3 1 5.13732
2016 03 3 1 18.5729
1982 04 4 0 19.1846
1983 04 4 1 30.609
1984 04 4 0 5.89309
1985 04 4 1 38.8004
1986 04 4 0 9.10954
1987 04 4 1 90.0719
1988 04 4 0 6.69523
1989 04 4 1 5.47668
1990 04 4 0 60.515
1991 04 4 0 6.34071
1992 04 4 1 86.4161
1993 04 4 1 25.6692
1994 04 4 0 1.21975
1995 04 4 0 0.161102
1996 04 4 0 0.253682
1997 04 4 1 28.4653
1998 04 4 1 21.7929
1999 04 4 1 3.10199
2000 04 4 1 1173.92
2001 04 4 0 181.24
2002 04 4 0 18.7105
2003 04 4 0 5.30496
2004 04 4 0 167.546
2005 04 4 1 80.0175
2006 04 4 0 11.8717
2007 04 4 0 75.0325
2008 04 4 1 5.72864
2009 04 4 0 15.7216
2010 04 4 1 59.7256
2011 04 4 1 10.5412
2012 04 4 0 1.56175
2013 04 4 0 0.586372
2014 04 4 0 2.535
2015 04 4 1 15.9404
2016 04 4 1 14.0396
1982 02 0 0 23.0 22.1
1983 02 0 1 41.9 46.5
1984 02 0 0 13.9 26.1
1985 02 0 1 57.5 78.4
1986 02 0 1 17.9 18.4
1987 02 0 1 124.1 61.5
1988 02 0 0 16.2 13.5
1989 02 0 1 29.6 3.14
1990 02 0 0 11.0 26.3
1991 02 0 0 14.3 31.8
1992 02 0 1 427.4 129.2
1993 02 0 1 47.1 27.8
1994 02 0 0 3.27 1.33
1995 02 0 1 0.038 0.605
1996 02 0 1 0.728 2.36
1997 02 0 0 142.6 10.0
1998 02 0 1 9.54 8.87
1999 02 0 1 0.005 0.950
2000 02 0 1 1.89 0.329
2001 02 0 1 81.4 77.1
2002 02 0 0 9.27 6.30
2003 02 0 1 9.79 16.7
2004 02 0 0 5.35 2.42
2005 02 0 0 88.5 120.1
2006 02 0 1 12.3 14.9
2007 02 0 0 34.0 37.9
2008 02 0 1 13.8 20.5
2009 02 0 1 23.9 27.2
2010 02 0 1 51.0 13.4
2011 02 0 1 23.8 24.3
2012 02 0 1 1.93 3.66
2013 02 0 0 1.08 2.70
2014 02 0 0 10.7 8.35
2015 02 0 1 29.5 32.7
2016 02 0 1 25.6 39.7
1982 02 1 0 16.6246
1983 02 1 1 61.9707
1984 02 1 0 31.8685
1985 02 1 1 89.8225
1986 02 1 1 19.3728
1987 02 1 1 98.3246
1988 02 1 0 16.2478
1989 02 1 1 2.11624
1990 02 1 0 39.059
1991 02 1 0 36.6755
1992 02 1 1 165.49
1993 02 1 1 25.5741
1994 02 1 0 1.23471
1995 02 1 1 0.52732
1996 02 1 1 2.74031
1997 02 1 0 10.795
1998 02 1 1 13.1117
1999 02 1 1 0.802116
2000 02 1 1 0.313652
2001 02 1 1 138.225
2002 02 1 0 5.30016
2003 02 1 1 17.3329
2004 02 1 0 2.0848
2005 02 1 0 162.747
2006 02 1 1 18.0852
2007 02 1 0 46.3785
2008 02 1 1 19.338
2009 02 1 1 46.6358
2010 02 1 1 13.6674
2011 02 1 1 23.5569
2012 02 1 1 1.22048
2013 02 1 0 0.22377
2014 02 1 0 1.07298
2015 02 1 1 13.808
2016 02 1 1 29.0071
1982 03 2 0 10.7809
1983 03 2 1 13.3941
1984 03 2 0 20.9876
1985 03 2 1 62.1915
1986 03 2 0 24.1482
1987 03 2 1 71.7265
1988 03 2 0 9.66604
1989 03 2 1 36.176
1990 03 2 0 12.6547
1991 03 2 0 22.7628
1992 03 2 1 136.332
1993 03 2 1 14.0576
1994 03 2 0 8.99522
1995 03 2 0 3.29881
1996 03 2 0 10.8312
1997 03 2 0 52.0639
1998 03 2 1 7.41708
1999 03 2 1 0.00885443
2000 03 2 1 2.27442
2001 03 2 0 39.7176
2002 03 2 0 11.1728
2003 03 2 1 13.7082
2004 03 2 0 10.2776
2005 03 2 0 87.983
2006 03 2 1 15.2432
2007 03 2 0 31.9452
2008 03 2 1 24.5406
2009 03 2 1 82.4403
2010 03 2 1 34.7707
2011 03 2 1 28.7126
2012 03 2 0 8.62072
2013 03 2 0 1.77235
2014 03 2 0 3.26667
2015 03 2 1 4.27366
2016 03 2 1 11.4724
1982 04 3 0 29.7067
1983 04 3 1 64.9554
1984 04 3 0 10.887
1985 04 3 1 43.815
1986 04 3 0 7.82462
1987 04 3 1 86.0603
1988 04 3 0 7.7188
1989 04 3 1 5.8282
1990 04 3 0 53.2931
1991 04 3 0 7.66391
1992 04 3 1 85.148
1993 04 3 1 24.9982
1994 04 3 0 2.28822
1995 04 3 0 0.385362
1996 04 3 0 0.531878
1997 04 3 1 23.2672
1998 04 3 1 19.9882
1999 04 3 1 7.79266
2000 04 3 1 2951.93
2001 04 3 0 88.0585
2002 04 3 0 27.4705
2003 04 3 0 9.28925
2004 04 3 0 152.072
2005 04 3 1 64.7436
2006 04 3 0 20.5415
2007 04 3 0 35.2003
2008 04 3 1 4.28409
2009 04 3 0 14.3886
2010 04 3 1 39.5624
2011 04 3 1 22.5489
2012 04 3 0 1.51995
2013 04 3 0 0.237534
2014 04 3 0 0.543677
2015 04 3 1 1.5709
2016 04 3 1 2.16817
1982 05 4 1 82.598
1983 05 4 1 132.717
1984 05 4 0 33.6797
1985 05 4 0 159.563
1986 05 4 0 102.52
1987 05 4 1 640.356
1988 05 4 1 33.0181
1989 05 4 1 32.1207
1990 05 4 0 156.939
1991 05 4 1 8.92422
1992 05 4 1 1155.52
1993 05 4 1 35.0243
1994 05 4 1 9.48011
1995 05 4 0 24.1952
1996 05 4 0 9.16938
1997 05 4 1 138.233
1998 05 4 1 73.3054
