M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,CORR_CV_EN,MSSS_CV_EN,N,N1,N0

01,0,0.8682681,0,0.8700855,0,0.9166667,0.898641,35,26,9
01,1,0.8661064,0.7975765,0.8687179,0.7932128,0.8833333,0.9155847,35,26,9
01,2,0.3103641,0,0.8413675,0.8184438,0.4,0.6543625,35,26,9
01,3,0.3112045,0,0.8297436,0.8286081,0.35,0.7187974,35,26,9
01,4,0.3212885,0,0.8639316,0.8376565,0.6333333,0.7232143,35,26,9

02,0,0.8495798,0.2523182,0.8430265,0.2416275,0.8571429,0.7771813,35,22,13
02,1,0.8540616,0.2215434,0.826087,0.2094275,0.9010989,0.8163793,35,22,13
02,2,0.8417367,0.2870516,0.8385093,0.2766998,0.8406593,0.7952759,35,22,13
02,3,0.2056022,0,0.8339921,0.3080756,0.03846154,0.6269128,35,22,13
02,4,0.2176471,0,0.8328628,0.3027567,0.07142857,0.6034231,35,22,13

03,0,0.7270817,0,0.7720588,0,0.7027864,0.2179982,35,17,18
03,1,0.7398277,0.7141474,0.7279412,0.7301606,0.7750258,0.5456201,35,17,18
03,2,0.6686743,0.7669525,0.7132353,0.794602,0.6904025,0.4759631,35,17,18
03,3,0.7167169,0.7028295,0.7843137,0.7276664,0.6615067,0.4414404,35,17,18
03,4,0.1735416,0,0.752451,0.7357185,0.2920537,0.3663474,35,17,18

04,0,0.606485,0,0.3558824,0,0.5976306,0.4604553,35,16,19
04,1,0.5638655,0,0.4294118,0,0.4719298,0.1251148,35,16,19
04,2,0.5591036,0,0.3529412,0,0.5140351,0.3183306,35,16,19
04,3,0.4417367,0,0.1470588,0,0.4754386,0.2293174,35,16,19
04,4,0.4487395,0,0.1147059,0,0.5912281,0.1585485,35,16,19

05,0,0.6848739,0.07239277,0.3529412,0,0.8369453,0.4626635,35,17,18
05,1,0.7593838,0,0.629902,0,0.7832817,0.5681096,35,17,18
05,2,0.5563025,0,0.2867647,0,0.7069143,0,35,17,18
05,3,0.4117647,0,0.08088235,0,0.6160991,0.3738642,35,17,18
05,4,0.5960784,0,0.3088235,0,0.7420021,0.4159333,35,17,18

06,0,0.6529412,0.1475029,0.6058824,0.186846,0.6157895,0.06221464,35,16,19
06,1,0.6042017,0,0.5235294,0.1421372,0.5333333,0,35,16,19
06,2,0.4689076,0,0.4,0.01359497,0.4,0,35,16,19
06,3,0.5778711,0.2048062,0.5029412,0.2015516,0.4789474,0.2118618,35,16,19
06,4,0.5305322,0.03709166,0.4764706,0.08017642,0.4561404,0,35,16,19

07,0,0.6576533,0,0.5607143,0,0.7005269,0,35,15,20
07,1,0.5594396,0.03618474,0.4821429,0,0.6200152,0.490024,35,15,20
07,2,0.5954466,0,0.5107143,0,0.6343117,0.1991326,35,15,20
07,3,0.6205254,0,0.6,0,0.6561326,0,35,15,20
07,4,0.6520491,0,0.5714286,0,0.7373967,0,35,15,20

08,0,0.5265461,0,0.695371,0,0.4098895,0.007066183,35,14,21
08,1,0.3675687,0,0.4348828,0.4015543,0.3042915,0,35,14,21
08,2,0.4050556,0.02758268,0.4790334,0.3990278,0.3914178,0.01048898,35,14,21
08,3,0.1867328,0,0.06843334,0,0.2951888,0,35,14,21
08,4,0.2487898,0,0.4613732,0.3843377,0.2418728,0,35,14,21

09,0,0.72364,0,0.5615317,0,0.7807882,0,35,18,17
09,1,0.4954451,0,0.4262126,0,0.5847683,0,35,18,17
09,2,0.504415,0,0.4076367,0,0.5823113,0,35,18,17
09,3,0.6350387,0,0.5314757,0,0.73956,0,35,18,17
09,4,0.5363701,0,0.3374613,0,0.7002478,0,35,18,17

10,0,0.4473722,0.01546489,0.538387,0.1218657,0.3076923,0,35,23,12
10,1,0.3588235,0.5752618,0.4466403,0.5752134,0.1118881,0.5774072,35,23,12
10,2,0.3761905,0,0.3142292,0,0.5034965,0.2083952,35,23,12
10,3,0.257423,0.09271774,0.3231225,0.1002411,0.1328671,0,35,23,12
10,4,0.3123249,0,0.236166,0,0.3706294,0.6760032,35,23,12

11,0,0.7436975,0,0.7556522,0,0.6727273,0,35,24,11
11,1,0.6683473,0.1280025,0.68,0.1231315,0.5,0.2025452,35,24,11
11,2,0.4431373,0.05905554,0.5173913,0.05814923,0.1636364,0.07292515,35,24,11
11,3,0.4728291,0.03201858,0.5217391,0.02636298,0.3181818,0.118568,35,24,11
11,4,0.4268908,0.0387823,0.5365217,0.04534805,0.04545455,0,35,24,11

12,0,0.8212885,0,0.7869565,0,0.9363636,0.7984989,35,24,11
12,1,0.7137255,0.01171235,0.6991304,0,0.8090909,0.9205379,35,24,11
12,2,0.7386555,0.02633819,0.6721739,0.003309747,0.8818182,0.9522292,35,24,11
12,3,0.7778711,0,0.7834783,0,0.7909091,0.9355991,35,24,11
12,4,0.6969188,0.04264395,0.6808696,0.02012047,0.7545455,0.9482326,35,24,11

