M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,CORR_CV_EN,MSSS_CV_EN,N,N1,N0

01,0,0.9030812,0,0.9288889,0,0.6666667,0.4570781,35,26,9
01,1,0.8633053,0.3435087,0.902906,0.325443,0.5666667,0.7367658,35,26,9
01,2,0.1254902,0,0.9241026,0.3824096,0,0,35,26,9
01,3,0.1106443,0,0.8926496,0.1961351,0,0,35,26,9
01,4,0.07927171,0,0.9206838,0.2817983,0,0.1644895,35,26,9

02,0,0.7736695,0.1162407,0.8012422,0.1895295,0.7252747,0,35,22,13
02,1,0.6952381,0,0.7312253,0,0.7032967,0,35,22,13
02,2,0.680112,0,0.7459063,0,0.6153846,0,35,22,13
02,3,0.08487395,0,0.7131564,0,0.04945055,0,35,22,13
02,4,0.09327731,0,0.7696217,0,0,0,35,22,13

03,0,0.6422969,0,0.6323529,0,0.5748194,0.8411412,35,17,18
03,1,0.6411765,0,0.6960784,0,0.5438596,0.1040776,35,17,18
03,2,0.6378151,0,0.6960784,0,0.5417957,0.2116559,35,17,18
03,3,0.5890756,0.1422623,0.620098,0,0.5087719,0.3878635,35,17,18
03,4,0,0,0.6960784,0,0,0,35,17,18

04,0,0.8072829,0,0.7029412,0,0.7929825,0,35,16,19
04,1,0.7495798,0.3152772,0.6441176,0.3637043,0.754386,0.2144318,35,16,19
04,2,0.7322129,0.3769245,0.6294118,0.4478144,0.7298246,0.229302,35,16,19
04,3,0.7394958,0.3763045,0.6382353,0.45439,0.7017544,0.213698,35,16,19
04,4,0.7285714,0.4149183,0.6764706,0.5067574,0.6631579,0.2236709,35,16,19

05,0,0.4773109,0,0.1421569,0,0.7213622,0,35,17,18
05,1,0.2831933,0,0,0,0.6160991,0,35,17,18
05,2,0.32493,0,0,0,0.6057792,0.01325049,35,17,18
05,3,0.2915966,0,0,0,0.5851393,0,35,17,18
05,4,0.3215686,0,0.04411765,0,0.5479876,0,35,17,18

06,0,0.4133343,0,0.4029412,0,0.4894737,0.367315,35,16,19
06,1,0.4934519,0,0.3764706,0,0.4719298,0.3269907,35,16,19
06,2,0.4899503,0.01880492,0.3647059,0,0.4631579,0.167696,35,16,19
06,3,0.508439,0,0.4382353,0,0.5701754,0.2647267,35,16,19
06,4,0.636179,0,0.5441176,0,0.5912281,0.01235527,35,16,19

07,0,0.5889768,0,0.5178571,0,0.5969925,0.1744637,35,15,20
07,1,0.3893557,0,0.2107143,0,0.4,0.1602213,35,15,20
07,2,0.5254902,0.01102491,0.3035714,0,0.5759398,0.2603234,35,15,20
07,3,0.3694678,0,0.1535714,0,0.3984962,0.06448335,35,15,20
07,4,0.2882353,0,0.2392857,0,0.3458647,0.1454517,35,15,20

08,0,0.7535014,0,0.4593407,0,0.8584416,0.6958898,35,14,21
08,1,0.6355742,0.1309785,0.243956,0,0.7922078,0.4781876,35,14,21
08,2,0.6112045,0,0.178022,0,0.7714286,0.2920988,35,14,21
08,3,0.4717087,0.09193625,0.08571429,0,0.5467532,0.4657406,35,14,21
08,4,0.5784314,0.05539185,0.2527473,0,0.6467532,0.4420325,35,14,21

09,0,0.6722689,0,0.6676987,0,0.6789216,0,35,18,17
09,1,0.5131653,0.3422231,0.5748194,0.2245582,0.5343137,0.4390154,35,18,17
09,2,0.5414566,0.2394519,0.5665635,0.2635258,0.5808824,0.2196486,35,18,17
09,3,0.472549,0.03755306,0.3333333,0.1312607,0.5833333,0,35,18,17
09,4,0.5022409,0.12151,0.494324,0.09235203,0.6176471,0.1454957,35,18,17

10,0,0.6459384,0,0.6590909,0.006100989,0.6783217,0,35,23,12
10,1,0.5355742,0,0.5662055,0,0.6153846,0,35,23,12
10,2,0.4823529,0,0.486166,0,0.5524476,0,35,23,12
10,3,0.5128852,0,0.4960474,0.01386355,0.5944056,0,35,23,12
10,4,0.5142857,0,0.5355731,0,0.5944056,0,35,23,12

11,0,0.752381,0.1501776,0.8165217,0.2807922,0.6727273,0,35,24,11
11,1,0.7030812,0,0.7530435,0,0.6636364,0,35,24,11
11,2,0.7095238,0,0.7565217,0,0.6818182,0,35,24,11
11,3,0.712605,0,0.7913043,0,0.6363636,0,35,24,11
11,4,0.662465,0,0.72,0.002286459,0.5818182,0,35,24,11

12,0,0.842577,0,0.7747826,0,0.8909091,0,35,24,11
12,1,0.5943978,0,0.5347826,0,0.6,0,35,24,11
12,2,0.6795518,0,0.6191304,0,0.7727273,0,35,24,11
12,3,0.7767507,0,0.6947826,0,0.9,0.03756747,35,24,11
12,4,0.7445378,0,0.6495652,0,0.8636364,0.8880122,35,24,11

