Y	M	L	ENSO	(m,m0)_(CV)
1982 01 0 0 81.2 129.2
1983 01 0 1 0.574 0.897
1984 01 0 1 24.1 0.492
1985 01 0 1 617.5 1.48
1986 01 0 1 5.92 114.8
1987 01 0 1 241.3 336.1
1988 01 0 1 106.5 122.5
1989 01 0 1 0.080 0.041
1990 01 0 0 0.0 0.002
1991 01 0 1 5.72 9.21
1992 01 0 1 917.9 382.8
1993 01 0 0 74.3 48.9
1994 01 0 0 0.0 0.0
1995 01 0 1 23.6 26.8
1996 01 0 1 0.0 2.07
1997 01 0 0 68.9 99.2
1998 01 0 1 19.4 9.38
1999 01 0 1 204.0 304.8
2000 01 0 1 0.772 1.92
2001 01 0 1 135.8 234.6
2002 01 0 0 111.8 536.6
2003 01 0 1 89.7 142.6
2004 01 0 0 37.9 63.4
2005 01 0 1 259.5 950.4
2006 01 0 1 0.157 0.127
2007 01 0 1 84.0 3.53
2008 01 0 1 80.1 111.5
2009 01 0 1 0.121 0.142
2010 01 0 1 194.1 0.610
2011 01 0 1 0.283 0.0
2012 01 0 1 0.0 0.0
2013 01 0 0 0.0 0.022
2014 01 0 0 0.155 0.412
2015 01 0 1 0.0 0.0
2016 01 0 1 35.8 18.3
1982 01 1 0 37.691
1983 01 1 1 0.127771
1984 01 1 1 0.307332
1985 01 1 1 1.28845
1986 01 1 1 180.85
1987 01 1 1 166.884
1988 01 1 1 77.5868
1989 01 1 1 0.178912
1990 01 1 0 0.00481713
1991 01 1 1 5.09194
1992 01 1 1 165.287
1993 01 1 0 22.628
1994 01 1 0 0.000154447
1995 01 1 1 27.2159
1996 01 1 1 2.29231
1997 01 1 0 69.6893
1998 01 1 1 0.301964
1999 01 1 1 553.451
2000 01 1 1 6.62519
2001 01 1 1 220.898
2002 01 1 0 227.69
2003 01 1 1 173.429
2004 01 1 0 47.6531
2005 01 1 1 445.673
2006 01 1 1 0.151623
2007 01 1 1 4.41664
2008 01 1 1 118.438
2009 01 1 1 0.233878
2010 01 1 1 0.681301
2011 01 1 1 4.84143e-05
2012 01 1 1 0.000183898
2013 01 1 0 0.0588952
2014 01 1 0 2.90384
2015 01 1 1 0.000903373
2016 01 1 1 6.03642
1982 02 2 0 37.7128
1983 02 2 1 1.01607
1984 02 2 0 17.2954
1985 02 2 1 337.069
1986 02 2 1 3.07674
1987 02 2 1 80.6809
1988 02 2 0 41.5465
1989 02 2 1 0.280872
1990 02 2 0 0.000964293
1991 02 2 0 2.71621
1992 02 2 1 217.415
1993 02 2 1 18.765
1994 02 2 0 0.000975111
