Y M L ENSO 0.0001 0.0001
1982 01 0 0 22.1 29.4
1983 01 0 1 46.5 6.58
1984 01 0 1 26.1 25.9
1985 01 0 1 78.4 164.7
1986 01 0 1 18.4 28.8
1987 01 0 1 61.5 98.3
1988 01 0 1 13.5 8.41
1989 01 0 1 3.14 2.38
1990 01 0 0 26.3 0.209
1991 01 0 1 31.8 17.4
1992 01 0 1 129.2 354.2
1993 01 0 0 27.8 28.2
1994 01 0 0 1.33 0.454
1995 01 0 1 0.605 0.913
1996 01 0 1 2.36 1.92
1997 01 0 0 10.0 20.9
1998 01 0 1 8.87 9.43
1999 01 0 1 0.950 0.0
2000 01 0 1 0.329 0.0
2001 01 0 1 77.1 70.3
2002 01 0 0 6.30 23.7
2003 01 0 1 16.7 35.7
2004 01 0 0 2.42 1.21
2005 01 0 1 120.1 207.4
2006 01 0 1 14.9 16.4
2007 01 0 1 37.9 47.1
2008 01 0 1 20.5 26.5
2009 01 0 1 27.2 41.0
2010 01 0 1 13.4 6.65
2011 01 0 1 24.3 26.4
2012 01 0 1 3.66 4.41
2013 01 0 0 2.70 0.0
2014 01 0 0 8.35 4.04
2015 01 0 1 32.7 32.5
2016 01 0 1 39.7 44.0
1982 01 1 0 18.9379 19.0388
1983 01 1 1 19.4451 13.3813
1984 01 1 1 16.7364 16.4203
1985 01 1 1 29.9812 27.0189
1986 01 1 1 19.3969 18.1344
1987 01 1 1 42.8025 31.8618
1988 01 1 1 18.6979 12.5036
1989 01 1 1 6.15992 14.3937
1990 01 1 0 4.4549 3.49114
1991 01 1 1 20.8169 13.4104
1992 01 1 1 58.3881 51.4844
1993 01 1 0 24.4955 19.4358
1994 01 1 0 5.9721 6.9057
1995 01 1 1 14.832 11.5289
1996 01 1 1 8.63174 8.75728
1997 01 1 0 20.5708 20.1073
1998 01 1 1 22.2764 24.8342
1999 01 1 1 0.522469 0.370765
2000 01 1 1 0.432529 0.590762
2001 01 1 1 33.7136 17.2007
2002 01 1 0 16.9675 10.8809
2003 01 1 1 23.2341 28.796
2004 01 1 0 10.0204 7.13901
2005 01 1 1 38.3094 28.4227
2006 01 1 1 7.41514 14.1068
2007 01 1 1 27.4095 39.2261
2008 01 1 1 26.5639 17.6476
2009 01 1 1 15.3108 13.0013
2010 01 1 1 11.19 21.6901
2011 01 1 1 15.5747 27.3191
2012 01 1 1 23.4846 10.9895
2013 01 1 0 0.496856 0.312397
2014 01 1 0 9.91776 11.9892
2015 01 1 1 18.6983 23.0132
2016 01 1 1 9.28865 32.3288
1982 02 2 0 23.4056 18.5177
1983 02 2 1 74.2911 60.9993
1984 02 2 0 30.1052 33.815
1985 02 2 1 120.172 78.482
1986 02 2 1 20.3016 19.7439
1987 02 2 1 80.5551 76.2998
1988 02 2 0 14.1681 7.9604
1989 02 2 1 1.43783 1.48272
1990 02 2 0 21.6878 26.1341
1991 02 2 0 34.4021 41.6648
1992 02 2 1 168.839 192.579
1993 02 2 1 22.5651 30.375
1994 02 2 0 1.51855 1.6057
1995 02 2 1 0.815083 0.965152
1996 02 2 1 2.1965 1.98512
1997 02 2 0 8.78062 8.56288
1998 02 2 1 7.51637 9.74689
1999 02 2 1 0.901023 0.703644
2000 02 2 1 0.287187 0.234216
2001 02 2 1 92.736 73.2847
2002 02 2 0 5.17187 5.99893
2003 02 2 1 16.5367 23.793
2004 02 2 0 1.72413 1.97636
2005 02 2 0 186.177 215.749
2006 02 2 1 13.1813 19.0268
2007 02 2 0 47.5907 49.459
2008 02 2 1 24.1889 15.6807
2009 02 2 1 38.0601 22.0357
2010 02 2 1 12.4397 8.4421
2011 02 2 1 26.7269 12.7623
2012 02 2 1 2.02214 2.28638
2013 02 2 0 1.06598 2.60243
2014 02 2 0 3.46499 9.93721
2015 02 2 1 19.3607 44.9059
2016 02 2 1 25.4535 42.5028
1982 03 3 0 3.34859 20.4332
1983 03 3 1 12.1212 4.89354
1984 03 3 0 16.9565 23.7589
1985 03 3 1 64.372 77.594
1986 03 3 0 10.2079 16.2331
1987 03 3 1 67.4695 31.7519
1988 03 3 0 12.6809 7.83896
1989 03 3 1 37.2522 55.442
1990 03 3 0 6.48765 9.58682
1991 03 3 0 11.12 9.56881
1992 03 3 1 289.999 59.8494
1993 03 3 1 26.7356 23.302
1994 03 3 0 7.31591 6.04116
1995 03 3 0 1.86665 1.03494
1996 03 3 0 6.16836 4.76895
1997 03 3 0 115.115 99.9431
1998 03 3 1 13.5115 4.35431
1999 03 3 1 0.0102208 0.00698394
2000 03 3 1 2.39382 1.46582
2001 03 3 0 90.9437 49.3626
2002 03 3 0 24.2446 12.8253
2003 03 3 1 8.2359 8.19516
2004 03 3 0 13.4971 9.70696
2005 03 3 0 57.1811 39.4649
2006 03 3 1 5.1079 18.747
2007 03 3 0 8.36673 12.8673
2008 03 3 1 31.2393 33.0091
2009 03 3 1 53.0142 44.8445
2010 03 3 1 28.5233 50.0346
2011 03 3 1 44.262 90.073
2012 03 3 0 15.1768 8.89233
2013 03 3 0 4.29862 4.54307
2014 03 3 0 2.88081 23.6778
2015 03 3 1 5.13732 32.1428
2016 03 3 1 18.5729 12.0877
1982 04 4 0 19.1846 13.8512
1983 04 4 1 30.609 8.01435
1984 04 4 0 5.89309 4.79949
1985 04 4 1 38.8004 25.511
1986 04 4 0 9.10954 5.24587
1987 04 4 1 90.0719 89.7987
1988 04 4 0 6.69523 29.4666
1989 04 4 1 5.47668 12.5276
1990 04 4 0 60.515 53.8679
1991 04 4 0 6.34071 6.3346
1992 04 4 1 86.4161 115.99
1993 04 4 1 25.6692 24.8913
1994 04 4 0 1.21975 1.23501
1995 04 4 0 0.161102 0.0770808
1996 04 4 0 0.253682 0.540192
1997 04 4 1 28.4653 18.3004
1998 04 4 1 21.7929 10.0278
1999 04 4 1 3.10199 9.61991
2000 04 4 1 1173.92 1595.39
2001 04 4 0 181.24 78.9315
2002 04 4 0 18.7105 19.4426
2003 04 4 0 5.30496 4.64702
2004 04 4 0 167.546 109.48
2005 04 4 1 80.0175 102.624
2006 04 4 0 11.8717 16.9358
2007 04 4 0 75.0325 45.572
2008 04 4 1 5.72864 6.05629
2009 04 4 0 15.7216 8.92475
2010 04 4 1 59.7256 52.4382
2011 04 4 1 10.5412 18.9829
2012 04 4 0 1.56175 2.23769
2013 04 4 0 0.586372 0.359517
2014 04 4 0 2.535 3.24818
2015 04 4 1 15.9404 13.0955
2016 04 4 1 14.0396 23.0229
1982 02 0 0 23.0 22.1
1983 02 0 1 41.9 46.5
1984 02 0 0 13.9 26.1
1985 02 0 1 57.5 78.4
1986 02 0 1 17.9 18.4
1987 02 0 1 124.1 61.5
1988 02 0 0 16.2 13.5
1989 02 0 1 29.6 3.14
1990 02 0 0 11.0 26.3
1991 02 0 0 14.3 31.8
1992 02 0 1 427.4 129.2
1993 02 0 1 47.1 27.8
1994 02 0 0 3.27 1.33
1995 02 0 1 0.038 0.605
1996 02 0 1 0.728 2.36
1997 02 0 0 142.6 10.0
1998 02 0 1 9.54 8.87
1999 02 0 1 0.005 0.950
2000 02 0 1 1.89 0.329
2001 02 0 1 81.4 77.1
2002 02 0 0 9.27 6.30
2003 02 0 1 9.79 16.7
2004 02 0 0 5.35 2.42
2005 02 0 0 88.5 120.1
2006 02 0 1 12.3 14.9
2007 02 0 0 34.0 37.9
2008 02 0 1 13.8 20.5
2009 02 0 1 23.9 27.2
2010 02 0 1 51.0 13.4
2011 02 0 1 23.8 24.3
2012 02 0 1 1.93 3.66
2013 02 0 0 1.08 2.70
2014 02 0 0 10.7 8.35
2015 02 0 1 29.5 32.7
2016 02 0 1 25.6 39.7
1982 02 1 0 16.6246 26.7758
1983 02 1 1 61.9707 67.6151
1984 02 1 0 31.8685 27.1191
1985 02 1 1 89.8225 119.372
1986 02 1 1 19.3728 25.4764
1987 02 1 1 98.3246 66.5523
1988 02 1 0 16.2478 12.824
1989 02 1 1 2.11624 1.61029
1990 02 1 0 39.059 25.8654
1991 02 1 0 36.6755 36.1457
1992 02 1 1 165.49 168.159
1993 02 1 1 25.5741 38.6039
1994 02 1 0 1.23471 2.6931
1995 02 1 1 0.52732 2.24341
1996 02 1 1 2.74031 2.67312
1997 02 1 0 10.795 9.40574
1998 02 1 1 13.1117 11.0336
1999 02 1 1 0.802116 1.18378
2000 02 1 1 0.313652 0.333368
2001 02 1 1 138.225 90.8338
2002 02 1 0 5.30016 6.53773
2003 02 1 1 17.3329 16.3172
2004 02 1 0 2.0848 1.63594
2005 02 1 0 162.747 124.391
2006 02 1 1 18.0852 13.2285
2007 02 1 0 46.3785 36.336
2008 02 1 1 19.338 25.49
2009 02 1 1 46.6358 25.7878
2010 02 1 1 13.6674 3.83568
2011 02 1 1 23.5569 37.3427
2012 02 1 1 1.22048 2.87502
2013 02 1 0 0.22377 1.80768
2014 02 1 0 1.07298 5.27922
2015 02 1 1 13.808 31.043
2016 02 1 1 29.0071 25.8734
1982 03 2 0 10.7809 13.5099
1983 03 2 1 13.3941 11.8436
1984 03 2 0 20.9876 19.8609
1985 03 2 1 62.1915 43.0177
1986 03 2 0 24.1482 10.5348
1987 03 2 1 71.7265 27.9317
1988 03 2 0 9.66604 29.8939
1989 03 2 1 36.176 65.1268
1990 03 2 0 12.6547 12.2316
1991 03 2 0 22.7628 15.0429
1992 03 2 1 136.332 65.9296
1993 03 2 1 14.0576 24.9495
1994 03 2 0 8.99522 6.49835
1995 03 2 0 3.29881 2.17536
1996 03 2 0 10.8312 5.86296
1997 03 2 0 52.0639 56.1614
1998 03 2 1 7.41708 8.73761
1999 03 2 1 0.00885443 0.0245795
2000 03 2 1 2.27442 2.87174
