M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,CORR_CV_EN,MSSS_CV_EN,N,N1,N0

01,0,NA,NA,NA,NA,NA,NA,35,26,9
01,1,0.7537815,0.2920489,0.7716239,0.274978,0.5333333,0.7633776,35,26,9
01,2,0.1719888,0,0.774359,0.2852362,0,0.6335265,35,26,9
01,3,0.1596639,0,0.7388034,0.2364213,0,0.5805169,35,26,9
01,4,0.1492997,0,0.7647863,0.2093282,0.01666667,0.6747257,35,26,9

02,0,NA,NA,NA,NA,NA,NA,35,22,13
02,1,0.7644258,0.4220427,0.7989836,0.4629209,0.7472527,0.2054745,35,22,13
02,2,0.7663866,0.4301004,0.811406,0.5055739,0.7582418,0.1200257,35,22,13
02,3,0.1394958,0,0.8035008,0.4256244,0.03296703,0,35,22,13
02,4,0.1196078,0,0.8102767,0.3819652,0,0,35,22,13

03,0,NA,NA,NA,NA,NA,NA,35,17,18
03,1,0.4697479,0,0.2794118,0,0.6800826,0.1346456,35,17,18
03,2,0.4439776,0,0.3259804,0,0.620227,0.1093163,35,17,18
03,3,0.4691877,0,0.4044118,0,0.5624355,0.08830228,35,17,18
03,4,0.1330532,0,0.3382353,0,0.3353973,0.1648072,35,17,18

04,0,NA,NA,NA,NA,NA,NA,35,16,19
04,1,0.7683473,0,0.4970588,0,0.8964912,0.4519924,35,16,19
04,2,0.7602241,0,0.4794118,0,0.8912281,0.3661124,35,16,19
04,3,0.7047619,0,0.3588235,0,0.8684211,0.3235155,35,16,19
04,4,0.7607843,0,0.4764706,0,0.8964912,0.288485,35,16,19

05,0,NA,NA,NA,NA,NA,NA,35,17,18
05,1,0.5667064,0.1858011,0.7254902,0.1960406,0.4220846,0.3936606,35,17,18
05,2,0.4217382,0.1224962,0.4215686,0.1300888,0.3065015,0.3696056,35,17,18
05,3,0.2927376,0.02133577,0.2916667,0.0297025,0.2652219,0.3475584,35,17,18
05,4,0.5003151,0.2754919,0.5563725,0.295051,0.4303406,0.3961562,35,17,18

06,0,NA,NA,NA,NA,NA,NA,35,16,19
06,1,0.2602241,0,0.07058824,0,0.3403509,0,35,16,19
06,2,0.4008403,0.02778636,0.3411765,0.04795905,0.4298246,0.03012019,35,16,19
06,3,0.3983193,0.003794339,0.1823529,0,0.4807018,0.0927166,35,16,19
06,4,0.1941176,0,0.1294118,0,0.1035088,0.0131281,35,16,19

07,0,NA,NA,NA,NA,NA,NA,35,15,20
07,1,0.3641712,0,0,0,0.4746146,0.6624575,35,15,20
07,2,0.2934379,0,0,0,0.3851072,0.492961,35,15,20
07,3,0.4846278,0,0.03571429,0,0.5844303,0.5817708,35,15,20
07,4,0.3605294,0,0,0,0.4294848,0.5239249,35,15,20

08,0,NA,NA,NA,NA,NA,NA,35,14,21
08,1,0.3780377,0,0.6204624,0.6334484,0.2714286,0,35,14,21
08,2,0.1728412,0,0.3608363,0.2653647,0.08831169,0,35,14,21
08,3,0.2001541,0,0.7172722,0.7793027,0.1103896,0,35,14,21
08,4,0.4040899,0.08409466,0.5236527,0.5290828,0.3909091,0.08000577,35,14,21

09,0,NA,NA,NA,NA,NA,NA,35,18,17
09,1,0.3115719,0,0.1455108,0.2434678,0.5356282,0,35,18,17
09,2,0.3872233,0,0.2941176,0,0.6511076,0,35,18,17
09,3,0.3435136,0,0.2321981,0.02540787,0.5601983,0,35,18,17
09,4,0.2950406,0,0.08978328,0,0.5454562,0,35,18,17

10,0,NA,NA,NA,NA,NA,NA,35,23,12
10,1,0,0,0,0,0,0,35,23,12
10,2,0,0,0.1096838,0,0,0,35,23,12
10,3,0,0,0,0,0,0,35,23,12
10,4,0,0,0,0,0,0,35,23,12

11,0,NA,NA,NA,NA,NA,NA,35,24,11
11,1,0.8438966,0,0.9684714,0,0.5909091,0,35,24,11
11,2,0.8024371,0,0.9093281,0,0.5909091,0,35,24,11
11,3,0.8275089,0,0.927593,0.3882084,0.6545455,0,35,24,11
11,4,0.7812872,0,0.8897587,0.06981566,0.5909091,0,35,24,11

12,0,NA,NA,NA,NA,NA,NA,35,24,11
12,1,0.7971421,0.6498192,0.8014786,0.6521191,0.8363636,0.8923432,35,24,11
12,2,0.8912861,0,0.9023701,0,0.8636364,0.898142,35,24,11
12,3,0.8548613,0.2026498,0.8593173,0.1948158,0.9454545,0.8974353,35,24,11
12,4,0.8464556,0.6152734,0.8588824,0.7540569,0.8636364,0.6410726,35,24,11

