xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=eigenvalues, cpt:nrow=28, cpt:ncol=3, cpt:row=mode, cpt:col=index 
Mode	Eigenvalue	% variance	Cum. % variance
1	18.862098051130371	60.845477584291579	60.845477584291579
2	7.4509834526747563	24.035430492499241	84.880908076790817
3	2.3948733817061023	7.7253980055035640	92.606306082294367
4	0.94524383112460042	3.0491736487890369	95.655479731083418
5	0.58541349002905030	1.8884306129969384	97.543910344080359
6	0.26889935438137330	0.86741727219797926	98.411327616278328
7	0.17051434932423692	0.55004628814270029	98.961373904421038
8	7.8429928428578141E-002	0.25299976912444588	99.214373673545467
9	7.2063273411039575E-002	0.23246217229367630	99.446835845839146
10	5.0892407817966528E-002	0.16416905747731153	99.611004903316442
11	4.0951316423426483E-002	0.13210102072073074	99.743105924037181
12	2.1139560098091210E-002	6.8192129348681393E-002	99.811298053385869
13	1.6893590969631750E-002	5.4495454740747636E-002	99.865793508126600
14	1.4727513889745270E-002	4.7508109321758980E-002	99.913301617448369
15	9.8007410867874348E-003	3.1615293828346595E-002	99.944916911276721
16	5.6102121323041510E-003	1.8097458491303731E-002	99.963014369768032
17	4.4321126092308474E-003	1.4297137449131780E-002	99.977311507217152
18	2.6053127516675679E-003	8.4042346827986145E-003	99.985715741899966
19	1.5957963413700019E-003	5.1477301334516244E-003	99.990863472033396
20	1.2657669669470972E-003	4.0831192482164470E-003	99.994946591281632
21	6.4656073541602670E-004	2.0856797916646045E-003	99.997032271073294
22	3.5870340430490020E-004	1.1571077558222599E-003	99.998189378829110
23	3.0320734311897523E-004	9.7808820360959859E-004	99.999167467032720
24	1.2033058167926378E-004	3.8816316670730293E-004	99.999555630199438
25	7.7079263899901469E-005	2.4864278677387596E-004	99.999804272986211
26	5.0032228479366223E-005	1.6139428541731059E-004	99.999965667271624
27	1.0643145795578772E-005	3.4332728372834787E-005	100.00000000000000
28	0.0000000000000000	0.0000000000000000	100.00000000000000
