M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,N,N1

01,0,0.3431013,0,0.5025974,0,27,21
01,1,0.8199023,0.8237531,0.8116883,0.823894,27,21
01,2,0.3070818,0,0.7684211,0.7272893,27,21
01,3,0.2905983,0,0.7609023,0.6851908,27,21
01,4,0.2747253,0,0.7172932,0.8528651,27,21

02,0,0.8333333,0.2719753,0.8431373,0.2733061,27,17
02,1,0.8333333,0.3460087,0.8823529,0.3472688,27,17
02,2,0.7594628,0.518084,0.747549,0.5213343,27,17
02,3,0.05555556,0,0.8431373,0.5838607,27,18
02,4,0.1282051,0,0.8553922,0.4679876,27,18

03,0,0.6780644,0,0.7967033,0,27,13
03,1,0.5651046,0.680592,0.7472527,0.7034223,27,13
03,2,0.7324073,0.6534815,0.7362637,0.6789498,27,13
03,3,0.553198,0.7061032,0.6978022,0.7381913,27,13
03,4,0,0,0.7692308,0.8829502,27,14

04,0,0.5681575,0,0.5734266,0,27,12
04,1,0.4371184,0.3952286,0.7552448,0.2096709,27,12
04,2,0.481685,0.1183353,0.2797203,0,27,12
04,3,0.473138,0,0.2657343,0,27,12
04,4,0.5323565,0.2308372,0.6153846,0.05734887,27,12

05,0,0.6190476,0.4926261,0.2377622,0.3407179,27,12
05,1,0.4481074,0.2241884,0.05594406,0.04798777,27,12
05,2,0.468254,0.3967913,0.2097902,0.3621226,27,12
05,3,0.4291819,0.3385535,0.2027972,0.4123093,27,12
05,4,0.4438339,0,0.2657343,0.3553338,27,12

06,0,0.457265,0,0.4335664,0,27,12
06,1,0.3968254,0,0.1958042,0,27,12
06,2,0.2698413,0,0.1958042,0,27,12
06,3,0.4267399,0,0.4475524,0,27,12
06,4,0.2106227,0,0.3076923,0,27,12

07,0,0.5623569,0,0.3006993,0,27,12
07,1,0.4335216,0,0.2657343,0,27,12
07,2,0.505877,0,0.5314685,0,27,12
07,3,0.4255839,0,0.4125874,0,27,12
07,4,0.5867807,0,0.4685315,0,27,12

08,0,0.4712928,0,0.7289313,0.5616157,27,11
08,1,0.3074111,0,0.2687934,0.7001698,27,11
08,2,0.4115145,0.004533073,0.4373588,0.6990633,27,11
08,3,0.1004291,0,0.1366746,0.6904592,27,11
08,4,0.07225998,0.0060549,0,0.6735691,27,11

09,0,0.6703452,0,0.4268429,0,27,14
09,1,0.4838119,0.5520602,0.2791209,0.1993632,27,14
09,2,0.2834454,0,0.02417582,0,27,14
09,3,0.4471595,0,0.2659341,0.3271583,27,14
09,4,0.5070251,0.1525902,0.3274725,0.4591475,27,14

10,0,0.4117288,0.01774402,0.5263713,0.1050535,27,18
10,1,0.3913309,0,0.4179567,0,27,18
10,2,0.4713065,0.846274,0.4901961,0.9058676,27,18
10,3,0.5940171,0,0.6945304,0,27,18
10,4,0.1672772,0,0.1104231,0,27,18

11,0,0.6941392,0,0.7157895,0,27,19
11,1,0.8150183,0.3003404,0.7719298,0.2690736,27,19
11,2,0.6526252,0,0.6473684,0,27,19
11,3,0.5262515,0.02358403,0.6210526,0,27,19
11,4,0.485348,0,0.5491228,0,27,19

12,0,0.8058608,0.02236021,0.7714286,0.02051043,27,20
12,1,0.8412698,0.09941967,0.7969925,0.09773082,27,20
12,2,0.7051282,0.03267876,0.7097744,0.0318655,27,20
12,3,0.6984127,0.02247984,0.6255639,0.02199632,27,20
12,4,0.8009768,0.05196854,0.8270677,0.05111965,27,20

