xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	04.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1982	5.2388471155292873
1983	5.4579218814262065
1984	4.5723466389202780
1985	5.6199930151381032
1986	5.0886732306848179
1987	5.7368785837038203
1988	5.1458914424519699
1989	5.3038457123594220
1990	5.7729478216486019
1991	4.8861569599777104
1992	6.3545978114651192
1993	5.4363727306000476
1994	5.0483696908920477
1995	5.5225329009205657
1996	4.8504330478100144
1997	6.9759180202226645
1998	5.9306103615273456
1999	5.9269434543484376
2000	4.7809710168940471
2001	6.0885219922327956
2002	5.1246469906057808
2003	5.0569606407508836
2004	5.1555654086390472
2005	5.7509882108592913
2006	4.9420118176510215
2007	6.1225334161407572
2008	5.0529940849775672
2009	4.9116482343826329
2010	5.5538504921735417
2011	4.5897605910635422
2012	5.2461313475110734
2013	4.2669290256789072
2014	4.0244244878413173
2015	4.5191430938686494
2016	5.6313582115521719
