xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	09.0
cpt:Y	28.308889059999998
cpt:X	-98.557238400000003
1982	2.0894782447993636
1983	3.9519730432044797
1984	-0.81895023031200465
1985	2.6447794776588904
1986	-0.37429334889146926
1987	5.7941240106142473
1988	4.3572567135709548
1989	3.9104618457642264
1990	6.6824593566008854
1991	3.7261844960471850
1992	5.6288493173498839
1993	-1.0349695399642398
1994	3.3354235179051397
1995	-0.11138123963509949
1996	4.1913036140141369
1997	5.3446200811184017
1998	4.7180113426909207
1999	5.6866516110108822
2000	-2.3799602225893364
2001	4.1529935575822892
2002	5.9600129922090286
2003	3.9771417734202164
2004	6.0376335679426907
2005	3.5912400343878854
2006	-1.7106517643785160
2007	8.5095159073497566
2008	3.5890008723028197
2009	-3.0157000327404169
2010	3.7949293560918176
2011	-5.4914519142891631
2012	-2.5522115585418530
2013	0.11942030380587765
2014	-2.5341949750333170
2015	-1.0721131485309487
2016	3.2238500374650614
