Y	M	Lead	P-Y	P-M	Streamflow_CV
1982 01 0 1982 01 81.2003
1983 01 0 1983 01 0.574
1984 01 0 1984 01 24.1001
1985 01 0 1985 01 617.5
1986 01 0 1986 01 5.91998
1987 01 0 1987 01 241.3
1988 01 0 1988 01 106.5
1989 01 0 1989 01 0.08
1990 01 0 1990 01 3.71976e-11
1991 01 0 1991 01 5.72002
1992 01 0 1992 01 917.901
1993 01 0 1993 01 74.2998
1994 01 0 1994 01 3.71976e-11
1995 01 0 1995 01 23.6
1996 01 0 1996 01 3.71976e-11
1997 01 0 1997 01 68.9002
1998 01 0 1998 01 19.4
1999 01 0 1999 01 204
2000 01 0 2000 01 0.772
2001 01 0 2001 01 135.799
2002 01 0 2002 01 111.8
2003 01 0 2003 01 89.6998
2004 01 0 2004 01 37.8999
2005 01 0 2005 01 259.501
2006 01 0 2006 01 0.157
2007 01 0 2007 01 84.0002
2008 01 0 2008 01 80.1002
2009 01 0 2009 01 0.121
2010 01 0 2010 01 194.099
2011 01 0 2011 01 0.282999
2012 01 0 2012 01 3.71976e-11
2013 01 0 2013 01 3.71976e-11
2014 01 0 2014 01 0.154999
2015 01 0 2015 01 3.71976e-11
2016 01 0 2016 01 35.8
1982 01 1 1982 01 47.4336
1983 01 1 1983 01 11.6758
1984 01 1 1984 01 0.859093
1985 01 1 1985 01 1.16953
1986 01 1 1986 01 91.9959
1987 01 1 1987 01 197.047
1988 01 1 1988 01 74.3573
1989 01 1 1989 01 0.118233
1990 01 1 1990 01 0.0470289
1991 01 1 1991 01 19.8581
1992 01 1 1992 01 247.569
1993 01 1 1993 01 25.993
1994 01 1 1994 01 0.0126208
1995 01 1 1995 01 24.7315
1996 01 1 1996 01 6.45197
1997 01 1 1997 01 97.8415
1998 01 1 1998 01 87.4005
1999 01 1 1999 01 47.1177
2000 01 1 2000 01 0.675466
2001 01 1 2001 01 114.479
2002 01 1 2002 01 117.107
2003 01 1 2003 01 125.455
2004 01 1 2004 01 33.9614
2005 01 1 2005 01 361.433
2006 01 1 2006 01 0.383673
2007 01 1 2007 01 12.7701
2008 01 1 2008 01 42.5239
2009 01 1 2009 01 0.534031
2010 01 1 2010 01 2.21575
2011 01 1 2011 01 0.000330147
2012 01 1 2012 01 9.50825e-06
2013 01 1 2013 01 0.0106668
2014 01 1 2014 01 0.253934
2015 01 1 2015 01 0.000217218
2016 01 1 2016 01 0.4935
1982 01 2 1982 02 34.4107
1983 01 2 1983 02 0.752196
1984 01 2 1984 02 20.1001
1985 01 2 1985 02 599.474
1986 01 2 1986 02 4.90087
1987 01 2 1987 02 74.1747
1988 01 2 1988 02 63.2441
1989 01 2 1989 02 0.0590847
1990 01 2 1990 02 0.000310044
1991 01 2 1991 02 3.89605
1992 01 2 1992 02 197.106
1993 01 2 1993 02 30.7009
1994 01 2 1994 02 0.000732064
1995 01 2 1995 02 17.0358
1996 01 2 1996 02 0.000493963
1997 01 2 1997 02 42.7278
1998 01 2 1998 02 20.4933
1999 01 2 1999 02 48.366
2000 01 2 2000 02 0.360514
2001 01 2 2001 02 40.0813
2002 01 2 2002 02 49.9181
2003 01 2 2003 02 35.17
2004 01 2 2004 02 23.7352
2005 01 2 2005 02 87.8379
2006 01 2 2006 02 0.161667
2007 01 2 2007 02 40.3043
2008 01 2 2008 02 29.5123
2009 01 2 2009 02 0.2148
2010 01 2 2010 02 62.38
2011 01 2 2011 02 0.375096
2012 01 2 2012 02 0.000103658
2013 01 2 2013 02 5.08893e-05
2014 01 2 2014 02 0.0456811
2015 01 2 2015 02 0.0525787
2016 01 2 2016 02 1230.74
1982 01 3 1982 03 22.7848
1983 01 3 1983 03 85.4632
1984 01 3 1984 03 6.37751
1985 01 3 1985 03 3.33333
1986 01 3 1986 03 12.1237
1987 01 3 1987 03 90.1169
1988 01 3 1988 03 9.39159
1989 01 3 1989 03 2.1379
1990 01 3 1990 03 1.81078
1991 01 3 1991 03 17.9019
1992 01 3 1992 03 35.0592
1993 01 3 1993 03 3.41385
1994 01 3 1994 03 0.481975
1995 01 3 1995 03 5.48441
1996 01 3 1996 03 3.42513
1997 01 3 1997 03 14.7528
1998 01 3 1998 03 14.7315
1999 01 3 1999 03 6.28696
2000 01 3 2000 03 2.14742
2001 01 3 2001 03 25.3346
2002 01 3 2002 03 55.6055
2003 01 3 2003 03 20.6472
2004 01 3 2004 03 9.43937
2005 01 3 2005 03 14.4861
2006 01 3 2006 03 1.31039
2007 01 3 2007 03 17.6528
2008 01 3 2008 03 4.96614
2009 01 3 2009 03 21.3636
2010 01 3 2010 03 39.1677
2011 01 3 2011 03 2.24059
2012 01 3 2012 03 0.227475
2013 01 3 2013 03 0.600268
2014 01 3 2014 03 0.747813
2015 01 3 2015 03 0.0201228
2016 01 3 2016 03 0.258017
1982 01 4 1982 04 110.478
1983 01 4 1983 04 1.17264
1984 01 4 1984 04 0.371677
1985 01 4 1985 04 212.325
1986 01 4 1986 04 0.650498
1987 01 4 1987 04 92.7276
1988 01 4 1988 04 13.2851
1989 01 4 1989 04 0.411721
1990 01 4 1990 04 69.1842
1991 01 4 1991 04 1.30415
1992 01 4 1992 04 338.181
1993 01 4 1993 04 122.759
1994 01 4 1994 04 12.2497
1995 01 4 1995 04 4.70289
1996 01 4 1996 04 1.14916e-05
1997 01 4 1997 04 36.7818
1998 01 4 1998 04 36.5552
1999 01 4 1999 04 114.514
2000 01 4 2000 04 11.0591
2001 01 4 2001 04 23.3269
2002 01 4 2002 04 7.10759
2003 01 4 2003 04 32.8499
2004 01 4 2004 04 142.746
2005 01 4 2005 04 185.735
2006 01 4 2006 04 0.0280292
2007 01 4 2007 04 1.57033
2008 01 4 2008 04 6.46239
2009 01 4 2009 04 6.25396e-06
2010 01 4 2010 04 6.27184
2011 01 4 2011 04 0.0651535
2012 01 4 2012 04 38.4948
2013 01 4 2013 04 7.12823e-05
2014 01 4 2014 04 0.0448589
2015 01 4 2015 04 14.6222
2016 01 4 2016 04 2.35415
