Y	M	L	ENSO	(m,m0)_(CV)
1983 01 0 1 0.574 0.492
1984 01 0 1 24.1 1.48
1985 01 0 1 617.5 114.8
1986 01 0 1 5.92 336.1
1987 01 0 1 241.3 122.5
1988 01 0 1 106.5 0.041
1989 01 0 1 0.080 0.002
1990 01 0 0 0.0 9.21
1991 01 0 1 5.72 382.8
1992 01 0 1 917.9 48.9
1993 01 0 0 74.3 0.0
1994 01 0 0 0.0 26.8
1995 01 0 1 23.6 2.07
1996 01 0 1 0.0 99.2
1997 01 0 0 68.9 9.38
1998 01 0 1 19.4 304.8
1999 01 0 1 204.0 1.92
2000 01 0 1 0.772 234.6
2001 01 0 1 135.8 536.6
2002 01 0 0 111.8 142.6
2003 01 0 1 89.7 63.4
2004 01 0 0 37.9 950.4
2005 01 0 1 259.5 0.127
2006 01 0 1 0.157 3.53
2007 01 0 1 84.0 111.5
2008 01 0 1 80.1 0.142
2009 01 0 1 0.121 0.610
2010 01 0 1 194.1 0.0
2011 01 0 1 0.283 0.0
2012 01 0 1 0.0 0.022
2013 01 0 0 0.0 0.412
2014 01 0 0 0.155 0.0
2015 01 0 1 0.0 18.3
2016 01 0 1 35.8 137.2
1983 01 1 1 11.6757
1984 01 1 1 0.858993
1985 01 1 1 1.16943
1986 01 1 1 91.9958
1987 01 1 1 197.047
1988 01 1 1 74.3572
1989 01 1 1 0.118133
1990 01 1 0 0.0469289
1991 01 1 1 19.858
1992 01 1 1 247.569
1993 01 1 0 25.9929
1994 01 1 0 0.0125208
1995 01 1 1 24.7314
1996 01 1 1 6.45187
1997 01 1 0 97.8414
1998 01 1 1 87.4004
1999 01 1 1 47.1176
2000 01 1 1 0.675366
2001 01 1 1 114.478
2002 01 1 0 117.107
2003 01 1 1 125.455
2004 01 1 0 33.9613
2005 01 1 1 361.433
2006 01 1 1 0.383573
2007 01 1 1 12.77
2008 01 1 1 42.5238
2009 01 1 1 0.533931
2010 01 1 1 2.21565
2011 01 1 1 0.000230147
2012 01 1 1 -9.04918e-05
2013 01 1 0 0.0105668
2014 01 1 0 0.253834
2015 01 1 1 0.000117218
2016 01 1 1 0.4934
1983 02 2 1 0.752096
1984 02 2 0 20.1
1985 02 2 1 599.474
1986 02 2 1 4.90077
1987 02 2 1 74.1746
1988 02 2 0 63.244
1989 02 2 1 0.0589847
1990 02 2 0 0.000210044
1991 02 2 0 3.89595
1992 02 2 1 197.106
1993 02 2 1 30.7008
1994 02 2 0 0.000632064
1995 02 2 1 17.0357
1996 02 2 1 0.000393963
1997 02 2 0 42.7277
1998 02 2 1 20.4932
1999 02 2 1 48.3659
2000 02 2 1 0.360414
2001 02 2 1 40.0812
2002 02 2 0 49.918
2003 02 2 1 35.1699
2004 02 2 0 23.7351
2005 02 2 0 87.8378
2006 02 2 1 0.161567
2007 02 2 0 40.3042
2008 02 2 1 29.5122
2009 02 2 1 0.2147
2010 02 2 1 62.3799
