xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	01.0
cpt:Y	33.008157699999998
cpt:X	-100.18065890000000
1983	3.8383118278574377
1984	2.7126162006017491
1985	3.2769424049761220
1986	2.6753975521865949
1987	3.6841239685020644
1988	1.7820678255565623
1989	1.9323076050076566
1990	2.1549725233752119
1991	3.3968834313504841
1992	4.6633785103338043
1993	3.8203718583104926
1994	1.8438686574300838
1995	2.7217027944805676
1996	0.99393195359641906
1997	1.8355510339055472
1998	2.5830954924608442
1999	-0.64998579566302439
2000	-0.86407235676978233
2001	4.1778891721968865
2002	1.3891603471280187
2003	2.9927805578662721
2004	2.4972440355074133
2005	4.2376052825734316
2006	2.1756932765162755
2007	3.7979757252339557
2008	2.5438733961037494
2009	2.2763892264895960
2010	2.5596904928857018
