Y	M	L	ENSO	(m,m0)_(CV)
1984 01 0 1 26.1 164.7
1985 01 0 1 78.4 28.8
1986 01 0 1 18.4 98.3
1987 01 0 1 61.5 8.41
1988 01 0 1 13.5 2.38
1989 01 0 1 3.14 0.209
1990 01 0 0 26.3 17.4
1991 01 0 1 31.8 354.2
1992 01 0 1 129.2 28.2
1993 01 0 0 27.8 0.454
1994 01 0 0 1.33 0.913
1995 01 0 1 0.605 1.92
1996 01 0 1 2.36 20.9
1997 01 0 0 10.0 9.43
1998 01 0 1 8.87 0.0
1999 01 0 1 0.950 0.0
2000 01 0 1 0.329 70.3
2001 01 0 1 77.1 23.7
2002 01 0 0 6.30 35.7
2003 01 0 1 16.7 1.21
2004 01 0 0 2.42 207.4
2005 01 0 1 120.1 16.4
2006 01 0 1 14.9 47.1
2007 01 0 1 37.9 26.5
2008 01 0 1 20.5 41.0
2009 01 0 1 27.2 6.65
2010 01 0 1 13.4 26.4
1984 01 1 1 11.0265
1985 01 1 1 18.925
1986 01 1 1 13.2876
1987 01 1 1 33.1846
1988 01 1 1 5.38341
1989 01 1 1 6.0146
1990 01 1 0 6.13759
1991 01 1 1 24.759
1992 01 1 1 93.9925
1993 01 1 0 47.0577
1994 01 1 0 7.29322
1995 01 1 1 20.5928
1996 01 1 1 2.86222
1997 01 1 0 5.49231
1998 01 1 1 13.9807
1999 01 1 1 0.0592686
2000 01 1 1 0.349419
2001 01 1 1 48.7487
2002 01 1 0 2.89396
2003 01 1 1 20.7335
2004 01 1 0 11.0946
2005 01 1 1 46.6753
2006 01 1 1 6.10548
2007 01 1 1 46.4758
2008 01 1 1 10.8658
2009 01 1 1 7.35051
2010 01 1 1 11.2714
1984 02 2 0 30.4831
1985 02 2 1 85.3881
1986 02 2 1 13.0477
1987 02 2 1 80.3443
1988 02 2 0 28.46
1989 02 2 1 3.66979
1990 02 2 0 180.4
1991 02 2 0 52.4745
1992 02 2 1 123.941
1993 02 2 1 32.9634
1994 02 2 0 1.32495
1995 02 2 1 0.514639
1996 02 2 1 2.2158
1997 02 2 0 9.11623
1998 02 2 1 7.90847
1999 02 2 1 1.04509
2000 02 2 1 0.356379
2001 02 2 1 98.554
