xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=eigenvalues, cpt:nrow=13, cpt:ncol=3, cpt:row=mode, cpt:col=index 
Mode	Eigenvalue	% variance	Cum. % variance
1	6.7368402467201900	51.821848051693799	51.821848051693799
2	4.5378514078355074	34.906549291042388	86.728397342736187
3	0.92132174825389790	7.0870903711838356	93.815487713920035
4	0.41778676775145562	3.2137443673188915	97.029232081238916
5	0.27260988955696358	2.0969991504381831	99.126231231677096
6	6.1142993703417164E-002	0.47033072079551697	99.596561952472626
7	2.3805099906819456E-002	0.18311615312938057	99.779678105602002
8	1.2208282563770875E-002	9.3909865875160634E-002	99.873587971477150
9	1.1413425408138934E-002	8.7795580062607237E-002	99.961383551539768
10	2.4847182174374837E-003	1.9113217057211428E-002	99.980496768596979
11	1.3596278202797007E-003	1.0458675540613090E-002	99.990955444137612
12	9.2478598824267629E-004	7.1137383710975152E-003	99.998069182508701
13	2.5100627386973073E-004	1.9308174913056223E-003	100.00000000000000
