Y	M	Lead	P-Y	P-M	Streamflow_CV
1983 01 0 1983 01 64.4003
1984 01 0 1984 01 33.1999
1985 01 0 1985 01 249.9
1986 01 0 1986 01 26.9
1987 01 0 1987 01 294.5
1988 01 0 1988 01 71.1997
1989 01 0 1989 01 29.4001
1990 01 0 1990 01 30.2001
1991 01 0 1991 01 128.699
1992 01 0 1992 01 689.399
1993 01 0 1993 01 78.3001
1994 01 0 1994 01 61.5998
1995 01 0 1995 01 42.3
1996 01 0 1996 01 38.5
1997 01 0 1997 01 39.8
1998 01 0 1998 01 35.2
1999 01 0 1999 01 14.9
2000 01 0 2000 01 12.1999
2001 01 0 2001 01 20.2
2002 01 0 2002 01 20.8999
2003 01 0 2003 01 15.5001
2004 01 0 2004 01 6.13999
2005 01 0 2005 01 58.4001
2006 01 0 2006 01 16.6
2007 01 0 2007 01 13.5
2008 01 0 2008 01 48.7999
2009 01 0 2009 01 12.3999
2010 01 0 2010 01 110.1
1984 01 1 1984 01 47.8087
1985 01 1 1985 01 68.0748
1986 01 1 1986 01 29.1226
1987 01 1 1987 01 288.433
1988 01 1 1988 01 136.156
1989 01 1 1989 01 31.783
1990 01 1 1990 01 15.5718
1991 01 1 1991 01 57.2517
1992 01 1 1992 01 493.104
1993 01 1 1993 01 77.1091
1994 01 1 1994 01 52.754
1995 01 1 1995 01 37.9765
1996 01 1 1996 01 30.5256
1997 01 1 1997 01 66.7117
1998 01 1 1998 01 47.0792
1999 01 1 1999 01 15.6104
2000 01 1 2000 01 9.34956
2001 01 1 2001 01 49.1618
2002 01 1 2002 01 23.6377
2003 01 1 2003 01 36.7701
2004 01 1 2004 01 8.36054
2005 01 1 2005 01 68.9958
2006 01 1 2006 01 19.5512
2007 01 1 2007 01 21.2075
2008 01 1 2008 01 49.1813
2009 01 1 2009 01 14.7548
2010 01 1 2010 01 19.7395
1984 01 2 1984 02 52.0885
1985 01 2 1985 02 422.089
1986 01 2 1986 02 42.4882
1987 01 2 1987 02 562.126
1988 01 2 1988 02 156.761
1989 01 2 1989 02 21.8675
1990 01 2 1990 02 47.2393
1991 01 2 1991 02 226.31
1992 01 2 1992 02 1344.78
1993 01 2 1993 02 114.766
1994 01 2 1994 02 83.636
1995 01 2 1995 02 76.0375
1996 01 2 1996 02 51.7949
1997 01 2 1997 02 51.3888
1998 01 2 1998 02 51.9642
1999 01 2 1999 02 19.6685
2000 01 2 2000 02 11.6383
2001 01 2 2001 02 21.7963
2002 01 2 2002 02 30.916
2003 01 2 2003 02 30.5772
2004 01 2 2004 02 6.44235
2005 01 2 2005 02 111.401
2006 01 2 2006 02 24.4094
2007 01 2 2007 02 18.1699
2008 01 2 2008 02 72.6964
2009 01 2 2009 02 18.8196
2010 01 2 2010 02 246.101
1984 01 3 1984 03 47.5472
1985 01 3 1985 03 220.244
1986 01 3 1986 03 46.3601
1987 01 3 1987 03 251.944
1988 01 3 1988 03 69.7539
1989 01 3 1989 03 91.4856
1990 01 3 1990 03 37.0497
1991 01 3 1991 03 91.9291
1992 01 3 1992 03 805.995
1993 01 3 1993 03 90.9712
1994 01 3 1994 03 139.928
1995 01 3 1995 03 61.1804
1996 01 3 1996 03 48.1663
1997 01 3 1997 03 178.192
1998 01 3 1998 03 41.58
1999 01 3 1999 03 37.8798
2000 01 3 2000 03 16.7843
2001 01 3 2001 03 156.751
2002 01 3 2002 03 39.6055
2003 01 3 2003 03 31.5989
2004 01 3 2004 03 32.933
2005 01 3 2005 03 97.3704
2006 01 3 2006 03 35.0038
2007 01 3 2007 03 29.6838
2008 01 3 2008 03 37.7106
2009 01 3 2009 03 38.6094
2010 01 3 2010 03 161.893
1984 01 4 1984 04 26.7766
1985 01 4 1985 04 153.368
1986 01 4 1986 04 41.8336
1987 01 4 1987 04 270.609
1988 01 4 1988 04 47.348
1989 01 4 1989 04 76.3125
1990 01 4 1990 04 168.282
1991 01 4 1991 04 64.04
1992 01 4 1992 04 404.517
1993 01 4 1993 04 142.186
1994 01 4 1994 04 53.1257
1995 01 4 1995 04 39.5276
1996 01 4 1996 04 33.0843
1997 01 4 1997 04 96.7997
1998 01 4 1998 04 117.553
1999 01 4 1999 04 42.1661
2000 01 4 2000 04 113.224
2001 01 4 2001 04 202.913
2002 01 4 2002 04 74.9506
2003 01 4 2003 04 27.4331
2004 01 4 2004 04 50.8708
2005 01 4 2005 04 72.4613
2006 01 4 2006 04 25.4685
2007 01 4 2007 04 16.6626
2008 01 4 2008 04 175.151
2009 01 4 2009 04 32.8638
2010 01 4 2010 04 115.151
1983 02 0 1983 02 114.1
1984 02 0 1984 02 28.3999
1985 02 0 1985 02 438.399
1986 02 0 1986 02 29.1999
1987 02 0 1987 02 784.503
1988 02 0 1988 02 52.9003
1989 02 0 1989 02 98.9
1990 02 0 1990 02 24.6
1991 02 0 1991 02 100.9
1992 02 0 1992 02 4268
1993 02 0 1993 02 87.2999
1994 02 0 1994 02 178.9
1995 02 0 1995 02 34.6001
1996 02 0 1996 02 28.2001
1997 02 0 1997 02 290.999
1998 02 0 1998 02 43.1999
1999 02 0 1999 02 25.3999
2000 02 0 2000 02 8.17996
2001 02 0 2001 02 227.5
2002 02 0 2002 02 23.8999
2003 02 0 2003 02 17.7999
2004 02 0 2004 02 14.7999
2005 02 0 2005 02 84.1002
2006 02 0 2006 02 14.2
2007 02 0 2007 02 13.1999
2008 02 0 2008 02 42.8998
2009 02 0 2009 02 10.2
2010 02 0 2010 02 180.401
1984 02 1 1984 02 34.1154
1985 02 1 1985 02 454.668
1986 02 1 1986 02 22.6441
1987 02 1 1987 02 908.851
1988 02 1 1988 02 128.746
1989 02 1 1989 02 72.6047
1990 02 1 1990 02 120.036
1991 02 1 1991 02 148.614
1992 02 1 1992 02 842.215
1993 02 1 1993 02 166.287
1994 02 1 1994 02 63.0458
1995 02 1 1995 02 74.3661
1996 02 1 1996 02 39.5287
1997 02 1 1997 02 88.8646
1998 02 1 1998 02 51.2102
1999 02 1 1999 02 13.6954
2000 02 1 2000 02 12.7149
2001 02 1 2001 02 34.4452
2002 02 1 2002 02 20.3281
2003 02 1 2003 02 25.4882
2004 02 1 2004 02 25.3603
2005 02 1 2005 02 102.784
2006 02 1 2006 02 22.4881
2007 02 1 2007 02 11.9512
2008 02 1 2008 02 51.2073
2009 02 1 2009 02 9.58397
2010 02 1 2010 02 164.811
1984 02 2 1984 03 38.6859
1985 02 2 1985 03 285.585
1986 02 2 1986 03 37.7251
1987 02 2 1987 03 141.505
1988 02 2 1988 03 42.3849
1989 02 2 1989 03 101.033
1990 02 2 1990 03 43.5461
1991 02 2 1991 03 67.7088
1992 02 2 1992 03 892.99
1993 02 2 1993 03 94.3621
1994 02 2 1994 03 140.543
1995 02 2 1995 03 30.8496
1996 02 2 1996 03 40.1175
1997 02 2 1997 03 189.345
1998 02 2 1998 03 68.8678
1999 02 2 1999 03 28.9586
2000 02 2 2000 03 7.38016
2001 02 2 2001 03 173.499
2002 02 2 2002 03 47.093
2003 02 2 2003 03 39.4426
2004 02 2 2004 03 42.1918
2005 02 2 2005 03 68.1428
2006 02 2 2006 03 47.9132
2007 02 2 2007 03 27.3615
2008 02 2 2008 03 56.7027
2009 02 2 2009 03 33.6401
2010 02 2 2010 03 157.57
1984 02 3 1984 04 33.7458
1985 02 3 1985 04 94.3873
1986 02 3 1986 04 35.5659
1987 02 3 1987 04 289.435
1988 02 3 1988 04 40.6987
1989 02 3 1989 04 47.9418
1990 02 3 1990 04 156.471
1991 02 3 1991 04 55.2631
1992 02 3 1992 04 917.673
1993 02 3 1993 04 116.795
1994 02 3 1994 04 44.41
1995 02 3 1995 04 57.2686
1996 02 3 1996 04 25.3503
1997 02 3 1997 04 124.769
1998 02 3 1998 04 168.798
1999 02 3 1999 04 41.7353
2000 02 3 2000 04 96.9368
2001 02 3 2001 04 147.556
2002 02 3 2002 04 128.397
2003 02 3 2003 04 28.088
2004 02 3 2004 04 42.7641
2005 02 3 2005 04 64.6554
2006 02 3 2006 04 32.5442
2007 02 3 2007 04 31.2882
2008 02 3 2008 04 78.1701
2009 02 3 2009 04 29.0783
2010 02 3 2010 04 96.8332
1984 02 4 1984 05 96.698
