xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	05.0
cpt:Y	30.751289900000000
cpt:X	-98.669759900000003
1983	6.2431491363630620
1984	5.4233706271564426
1985	6.0450391634345237
1986	5.6849196124698587
1987	6.1710436399431519
1988	5.3178576902213113
1989	5.3536471300867348
1990	5.4704422934603745
1991	5.5256897650598278
1992	6.4359713367606339
1993	6.3981958829530807
1994	5.2182567982719261
1995	5.5780303180871087
1996	5.2481608241949713
1997	6.5389571580601515
1998	5.5719871001182399
1999	5.7323799702934055
2000	4.8797217754959172
2001	6.4838115447993285
2002	5.4842508379210226
2003	5.2364640236608127
2004	6.4449751096385475
2005	5.6606500920235874
2006	4.9142046357968763
2007	5.7270069380076203
2008	5.5261168563398639
2009	5.6485827370230819
2010	5.9233661696012447
