M,L,CORR_CV,MSSS_CV,CORR_CV_EY,MSSS_CV_EY,N,N1

01,0,0,0,0,0,27,21
01,1,0.8534799,0,0.8961039,0,27,21
01,2,0,0,0.9022556,0.3129014,27,21
01,3,0,0,0.875188,0.2143663,27,21
01,4,0,0,0.8616541,0.2917652,27,21

02,0,0.7362637,0.1138789,0.8063725,0.1997238,27,17
02,1,0.6672772,0,0.7401961,0,27,17
02,2,0.6245421,0,0.7720588,0,27,17
02,3,0,0,0.6593137,0.3532392,27,18
02,4,0,0,0.75,0,27,18

03,0,0.5921856,0.02965712,0.6868132,0,27,13
03,1,0.6831502,0.6324137,0.6813187,0,27,13
03,2,0.6575092,0,0.6703297,0,27,13
03,3,0.5445665,0.3320358,0.7582418,0.403981,27,13
03,4,0,0,0.7362637,0,27,14

04,0,0.7350427,0,0.5034965,0,27,12
04,1,0.6269841,0.5178238,0.3426573,0.2918492,27,12
04,2,0.7045177,0.6167612,0.6293706,0.5017866,27,12
04,3,0.6495726,0.5327272,0.4475524,0.5193033,27,12
04,4,0.6587302,0.5293742,0.5664336,0.4528003,27,12

05,0,0.5518926,0.06784445,0.2377622,0.5523044,27,12
05,1,0.3070818,0.03847323,0.1958042,0.7047757,27,12
05,2,0.3113553,0.05579784,0.1328671,0.6586057,27,12
05,3,0.3351648,0.08937004,0,0.6315383,27,12
05,4,0.2423687,0,0.07692308,0.6119172,27,12

06,0,0.3241758,0.01135948,0.4335664,0,27,12
06,1,0.3809524,0,0.1888112,0,27,12
06,2,0.3290598,0,0.3566434,0,27,12
06,3,0.504884,0.09402369,0.4965035,0.1372652,27,12
06,4,0.4242979,0.02725744,0.5244755,0.02884682,27,12

07,0,0.518315,0,0.4265734,0,27,12
07,1,0.6562882,0.2628256,0.5874126,0,27,12
07,2,0.4120879,0.09475251,0.3636364,0.03067313,27,12
07,3,0.3052503,0.01737012,0.1958042,0,27,12
07,4,0.5189255,0.09809174,0.3706294,0.04683284,27,12

08,0,0.6617827,0,0.3,0,27,11
08,1,0.6630037,0.6246516,0.4636364,0.3742052,27,11
08,2,0.3223443,0.3633019,0,0.1381239,27,11
08,3,0.4322344,0.4802446,0.2,0.1960806,27,11
08,4,0.3241758,0.4604641,0,0.2347311,27,11

09,0,0.6166056,0.343198,0.4945055,0.3571468,27,14
09,1,0.5677656,0.6013511,0.3098901,0.5246724,27,14
09,2,0.6514042,0.6527166,0.6967033,0.735059,27,14
09,3,0.6965812,0,0.7098901,0.6094537,27,14
09,4,0.5372405,0.5864796,0.4549451,0.5947325,27,14

10,0,0.518315,0.1618334,0.5748194,0.4323835,27,18
10,1,0.515873,0.08990702,0.6615067,0.3685865,27,18
10,2,0.3553114,0.09952787,0.4447884,0.4031249,27,18
10,3,0.3553114,0.09953592,0.2961816,0.3718061,27,18
10,4,0.2307692,0.132873,0.3209494,0.4262885,27,18

11,0,0.6770452,0.1812396,0.7701754,0.310746,27,19
11,1,0.6239316,0.05822176,0.5982456,0.08393504,27,19
11,2,0.6031746,0,0.6491228,0,27,19
11,3,0.5799756,0,0.6298246,0.0109637,27,19
11,4,0.4481074,0,0.5982456,0.009720927,27,19

12,0,0.7435897,0,0.687218,0,27,20
12,1,0.6263736,0.04684849,0.5819549,0.04708722,27,20
12,2,0.6080586,0.0204375,0.6210526,0.02277816,27,20
12,3,0.3711844,0,0.2165414,0,27,20
12,4,0.3656899,0,0.362406,0,27,20

