Y	M	Lead	P-Y	P-M	Streamflow_CV
1983 01 0 1983 01 46.4998
1984 01 0 1984 01 26.1
1985 01 0 1985 01 78.4004
1986 01 0 1986 01 18.4001
1987 01 0 1987 01 61.5001
1988 01 0 1988 01 13.5
1989 01 0 1989 01 3.13999
1990 01 0 1990 01 26.2999
1991 01 0 1991 01 31.8
1992 01 0 1992 01 129.2
1993 01 0 1993 01 27.8
1994 01 0 1994 01 1.33
1995 01 0 1995 01 0.605
1996 01 0 1996 01 2.36
1997 01 0 1997 01 10
1998 01 0 1998 01 8.87003
1999 01 0 1999 01 0.95
2000 01 0 2000 01 0.329001
2001 01 0 2001 01 77.0996
2002 01 0 2002 01 6.30003
2003 01 0 2003 01 16.6999
2004 01 0 2004 01 2.42
2005 01 0 2005 01 120.101
2006 01 0 2006 01 14.9
2007 01 0 2007 01 37.8999
2008 01 0 2008 01 20.5
2009 01 0 2009 01 27.2
2010 01 0 2010 01 13.4
1984 01 1 1984 01 19.7144
1985 01 1 1985 01 25.6189
1986 01 1 1986 01 22.0375
1987 01 1 1987 01 31.5944
1988 01 1 1988 01 11.5027
1989 01 1 1989 01 5.22922
1990 01 1 1990 01 7.68246
1991 01 1 1991 01 16.056
1992 01 1 1992 01 37.172
1993 01 1 1993 01 21.797
1994 01 1 1994 01 9.71148
1995 01 1 1995 01 11.4837
1996 01 1 1996 01 10.2834
1997 01 1 1997 01 20.5253
1998 01 1 1998 01 19.5312
1999 01 1 1999 01 0.0374664
2000 01 1 2000 01 0.0888401
2001 01 1 2001 01 22.7983
2002 01 1 2002 01 15.1045
2003 01 1 2003 01 29.2588
2004 01 1 2004 01 8.32376
2005 01 1 2005 01 36.4948
2006 01 1 2006 01 16.7702
2007 01 1 2007 01 24.0834
2008 01 1 2008 01 15.7902
2009 01 1 2009 01 21.7932
2010 01 1 2010 01 26.5554
1984 01 2 1984 02 34.4119
1985 01 2 1985 02 65.8594
1986 01 2 1986 02 19.9169
1987 01 2 1987 02 80.0272
1988 01 2 1988 02 7.3391
1989 01 2 1989 02 1.30687
1990 01 2 1990 02 25.8348
1991 01 2 1991 02 41.7466
1992 01 2 1992 02 215.932
1993 01 2 1993 02 31.1417
1994 01 2 1994 02 2.38676
1995 01 2 1995 02 1.68214
1996 01 2 1996 02 2.09534
1997 01 2 1997 02 9.27654
1998 01 2 1998 02 8.64311
1999 01 2 1999 02 0.931547
2000 01 2 2000 02 0.371167
2001 01 2 2001 02 54.6147
2002 01 2 2002 02 6.7099
2003 01 2 2003 02 31.4708
2004 01 2 2004 02 2.40534
2005 01 2 2005 02 250.595
2006 01 2 2006 02 24.1763
