Y	M	L	ENSO	(m,m0)_(CV)
1982 01 0 0 22.1 29.4
1983 01 0 1 46.5 6.58
1984 01 0 1 26.1 25.9
1985 01 0 1 78.4 164.7
1986 01 0 1 18.4 28.8
1987 01 0 1 61.5 98.3
1988 01 0 1 13.5 8.41
1989 01 0 1 3.14 2.38
1990 01 0 0 26.3 0.209
1991 01 0 1 31.8 17.4
1992 01 0 1 129.2 354.2
1993 01 0 0 27.8 28.2
1994 01 0 0 1.33 0.454
1995 01 0 1 0.605 0.913
1996 01 0 1 2.36 1.92
1997 01 0 0 10.0 20.9
1998 01 0 1 8.87 9.43
1999 01 0 1 0.950 0.0
2000 01 0 1 0.329 0.0
2001 01 0 1 77.1 70.3
2002 01 0 0 6.30 23.7
2003 01 0 1 16.7 35.7
2004 01 0 0 2.42 1.21
2005 01 0 1 120.1 207.4
2006 01 0 1 14.9 16.4
2007 01 0 1 37.9 47.1
2008 01 0 1 20.5 26.5
2009 01 0 1 27.2 41.0
2010 01 0 1 13.4 6.65
2011 01 0 1 24.3 26.4
2012 01 0 1 3.66 4.41
2013 01 0 0 2.70 0.0
2014 01 0 0 8.35 4.04
2015 01 0 1 32.7 32.5
2016 01 0 1 39.7 44.0
1982 01 1 0 19.0387
1983 01 1 1 13.3812
1984 01 1 1 16.4202
1985 01 1 1 27.0188
1986 01 1 1 18.1343
1987 01 1 1 31.8617
1988 01 1 1 12.5035
1989 01 1 1 14.3936
1990 01 1 0 3.49104
1991 01 1 1 13.4103
1992 01 1 1 51.4843
1993 01 1 0 19.4357
1994 01 1 0 6.9056
1995 01 1 1 11.5288
1996 01 1 1 8.75718
1997 01 1 0 20.1072
1998 01 1 1 24.8341
1999 01 1 1 0.370665
2000 01 1 1 0.590662
2001 01 1 1 17.2006
2002 01 1 0 10.8808
2003 01 1 1 28.7959
2004 01 1 0 7.13891
2005 01 1 1 28.4226
2006 01 1 1 14.1067
2007 01 1 1 39.226
2008 01 1 1 17.6475
2009 01 1 1 13.0012
2010 01 1 1 21.69
2011 01 1 1 27.319
2012 01 1 1 10.9894
2013 01 1 0 0.312297
2014 01 1 0 11.9891
2015 01 1 1 23.0131
2016 01 1 1 32.3287
1982 02 2 0 18.5176
1983 02 2 1 60.9992
1984 02 2 0 33.8149
1985 02 2 1 78.4819
1986 02 2 1 19.7438
1987 02 2 1 76.2997
1988 02 2 0 7.9603
1989 02 2 1 1.48262
1990 02 2 0 26.134
1991 02 2 0 41.6647
1992 02 2 1 192.579
1993 02 2 1 30.3749
1994 02 2 0 1.6056
1995 02 2 1 0.965052
1996 02 2 1 1.98502
1997 02 2 0 8.56278
1998 02 2 1 9.74679
1999 02 2 1 0.703544
2000 02 2 1 0.234116
2001 02 2 1 73.2846
2002 02 2 0 5.99883
2003 02 2 1 23.7929
2004 02 2 0 1.97626
2005 02 2 0 215.749
2006 02 2 1 19.0267
2007 02 2 0 49.4589
2008 02 2 1 15.6806
2009 02 2 1 22.0356
2010 02 2 1 8.442
2011 02 2 1 12.7622
2012 02 2 1 2.28628
2013 02 2 0 2.60233
2014 02 2 0 9.93711
2015 02 2 1 44.9058
2016 02 2 1 42.5027
1982 03 3 0 20.4331
1983 03 3 1 4.89344
1984 03 3 0 23.7588
1985 03 3 1 77.5939
1986 03 3 0 16.233
1987 03 3 1 31.7518
1988 03 3 0 7.83886
1989 03 3 1 55.4419
1990 03 3 0 9.58672
1991 03 3 0 9.56871
1992 03 3 1 59.8493
1993 03 3 1 23.3019
1994 03 3 0 6.04106
1995 03 3 0 1.03484
1996 03 3 0 4.76885
1997 03 3 0 99.943
1998 03 3 1 4.35421
1999 03 3 1 0.00688394
2000 03 3 1 1.46572
2001 03 3 0 49.3625
2002 03 3 0 12.8252
2003 03 3 1 8.19506
2004 03 3 0 9.70686
2005 03 3 0 39.4648
2006 03 3 1 18.7469
2007 03 3 0 12.8672
2008 03 3 1 33.009
2009 03 3 1 44.8444
2010 03 3 1 50.0345
2011 03 3 1 90.0729
2012 03 3 0 8.89223
2013 03 3 0 4.54297
2014 03 3 0 23.6777
2015 03 3 1 32.1427
2016 03 3 1 12.0876
1982 04 4 0 13.8511
1983 04 4 1 8.01425
1984 04 4 0 4.79939
1985 04 4 1 25.5109
1986 04 4 0 5.24577
1987 04 4 1 89.7986
1988 04 4 0 29.4665
1989 04 4 1 12.5275
1990 04 4 0 53.8678
1991 04 4 0 6.3345
1992 04 4 1 115.99
1993 04 4 1 24.8912
1994 04 4 0 1.23491
1995 04 4 0 0.0769808
1996 04 4 0 0.540092
1997 04 4 1 18.3003
1998 04 4 1 10.0277
1999 04 4 1 9.61981
2000 04 4 1 1595.39
2001 04 4 0 78.9314
2002 04 4 0 19.4425
2003 04 4 0 4.64692
2004 04 4 0 109.48
2005 04 4 1 102.623
2006 04 4 0 16.9357
2007 04 4 0 45.5719
2008 04 4 1 6.05619
2009 04 4 0 8.92465
2010 04 4 1 52.4381
2011 04 4 1 18.9828
2012 04 4 0 2.23759
2013 04 4 0 0.359417
2014 04 4 0 3.24808
2015 04 4 1 13.0954
2016 04 4 1 23.0228
1982 02 0 0 23.0 22.1
1983 02 0 1 41.9 46.5
1984 02 0 0 13.9 26.1
1985 02 0 1 57.5 78.4
1986 02 0 1 17.9 18.4
1987 02 0 1 124.1 61.5
1988 02 0 0 16.2 13.5
1989 02 0 1 29.6 3.14
1990 02 0 0 11.0 26.3
1991 02 0 0 14.3 31.8
1992 02 0 1 427.4 129.2
1993 02 0 1 47.1 27.8
1994 02 0 0 3.27 1.33
1995 02 0 1 0.038 0.605
1996 02 0 1 0.728 2.36
1997 02 0 0 142.6 10.0
1998 02 0 1 9.54 8.87
1999 02 0 1 0.005 0.950
2000 02 0 1 1.89 0.329
2001 02 0 1 81.4 77.1
2002 02 0 0 9.27 6.30
2003 02 0 1 9.79 16.7
2004 02 0 0 5.35 2.42
2005 02 0 0 88.5 120.1
2006 02 0 1 12.3 14.9
2007 02 0 0 34.0 37.9
2008 02 0 1 13.8 20.5
2009 02 0 1 23.9 27.2
2010 02 0 1 51.0 13.4
2011 02 0 1 23.8 24.3
2012 02 0 1 1.93 3.66
2013 02 0 0 1.08 2.70
2014 02 0 0 10.7 8.35
2015 02 0 1 29.5 32.7
2016 02 0 1 25.6 39.7
1982 02 1 0 26.7757
1983 02 1 1 67.615
1984 02 1 0 27.119
1985 02 1 1 119.372
1986 02 1 1 25.4763
1987 02 1 1 66.5522
1988 02 1 0 12.8239
1989 02 1 1 1.61019
1990 02 1 0 25.8653
1991 02 1 0 36.1456
1992 02 1 1 168.159
1993 02 1 1 38.6038
1994 02 1 0 2.693
1995 02 1 1 2.24331
1996 02 1 1 2.67302
1997 02 1 0 9.40564
1998 02 1 1 11.0335
1999 02 1 1 1.18368
2000 02 1 1 0.333268
2001 02 1 1 90.8337
2002 02 1 0 6.53763
2003 02 1 1 16.3171
2004 02 1 0 1.63584
2005 02 1 0 124.391
2006 02 1 1 13.2284
2007 02 1 0 36.3359
2008 02 1 1 25.4899
2009 02 1 1 25.7877
2010 02 1 1 3.83558
2011 02 1 1 37.3426
2012 02 1 1 2.87492
2013 02 1 0 1.80758
2014 02 1 0 5.27912
2015 02 1 1 31.0429
2016 02 1 1 25.8733
1982 03 2 0 13.5098
1983 03 2 1 11.8435
1984 03 2 0 19.8608
1985 03 2 1 43.0176
1986 03 2 0 10.5347
1987 03 2 1 27.9316
1988 03 2 0 29.8938
1989 03 2 1 65.1267
1990 03 2 0 12.2315
1991 03 2 0 15.0428
1992 03 2 1 65.9295
1993 03 2 1 24.9494
1994 03 2 0 6.49825
1995 03 2 0 2.17526
1996 03 2 0 5.86286
1997 03 2 0 56.1613
1998 03 2 1 8.73751
1999 03 2 1 0.0244795
2000 03 2 1 2.87164
2001 03 2 0 45.9206
2002 03 2 0 9.86701
2003 03 2 1 6.70409
2004 03 2 0 5.9358
2005 03 2 0 43.0392
2006 03 2 1 12.2467
2007 03 2 0 17.9908
2008 03 2 1 39.7366
2009 03 2 1 22.0162
2010 03 2 1 31.4434
2011 03 2 1 63.5724
2012 03 2 0 8.63035
2013 03 2 0 3.92296
2014 03 2 0 14.1609
2015 03 2 1 22.8529
2016 03 2 1 25.9197
1982 04 3 0 17.4304
1983 04 3 1 15.1921
1984 04 3 0 9.30627
1985 04 3 1 30.842
1986 04 3 0 7.0877
1987 04 3 1 93.2381
1988 04 3 0 9.82778
1989 04 3 1 9.01568
1990 04 3 0 83.7475
1991 04 3 0 5.08936
1992 04 3 1 94.0372
1993 04 3 1 25.9581
1994 04 3 0 1.23755
1995 04 3 0 0.0495131
1996 04 3 0 0.218528
1997 04 3 1 26.083
1998 04 3 1 14.4686
1999 04 3 1 8.30245
2000 04 3 1 2724.39
2001 04 3 0 142.372
2002 04 3 0 20.8423
2003 04 3 0 6.48806
2004 04 3 0 138.182
2005 04 3 1 50.6027
2006 04 3 0 11.2847
2007 04 3 0 54.936
2008 04 3 1 6.53558
2009 04 3 0 9.34541
2010 04 3 1 41.0577
2011 04 3 1 16.8496
2012 04 3 0 1.9544
2013 04 3 0 0.37302
2014 04 3 0 4.46025
2015 04 3 1 23.1058
2016 04 3 1 15.7695
1982 05 4 1 40.8688
1983 05 4 1 197.702
1984 05 4 0 38.3966
1985 05 4 0 22.7818
1986 05 4 0 34.8261
1987 05 4 1 126.513
1988 05 4 1 64.3586
1989 05 4 1 25.0836
1990 05 4 0 71.1262
1991 05 4 1 66.2944
1992 05 4 1 118.244
1993 05 4 1 59.9623
1994 05 4 1 97.2238
1995 05 4 0 94.8329
1996 05 4 0 42.2133
1997 05 4 1 104.131
1998 05 4 1 203.552
