xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=28, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	10.0
cpt:Y	32.932977780000002
cpt:X	-99.215388899999994
1983	0.39769083221378576
1984	1.7874605898767277
1985	2.7646314721388614
1986	3.5818395744850831
1987	4.4314943241579794
1988	2.8316774330792160
1989	2.9000354743960775
1990	5.8610055323901271
1991	5.8377821741266249
1992	2.6438787203122547
1993	3.4545624501271410
1994	3.8907427814437350
1995	4.1222184378331859
1996	2.7508937403744200
1997	6.0946336415658973
1998	2.8428236401569476
1999	1.6705750968587352
2000	1.0972918418443895
2001	3.1964596450277827
2002	3.4070468699247107
2003	4.0914597506301567
2004	4.1173110651750076
2005	3.9546158710859562
2006	1.6635914048866021
2007	3.4261021797873314
2008	2.8283718499268256
2009	5.0543033485071920
2010	4.2459516157547545
