xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=35, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	07.0
cpt:Y	32.932977780000002
cpt:X	-99.215388899999994
1982	6.1561426809218798
1983	3.5038444284413468
1984	-3.8692933109332075
1985	3.5113822812588555
1986	2.9777485877941441
1987	5.3984322745425795
1988	2.3874534024459102
1989	2.5952499916706153
1990	3.9239495669567175
1991	6.4910180517659768
1992	7.0356256026195041
1993	4.5190178923426716
1994	1.9956227162079807
1995	4.4087720274684195
1996	2.5362123982352802
1997	5.2904704534776545
1998	0.29958060712570012
1999	3.4887852163061601
2000	2.7377066790012434
2001	-0.30510907296390455
2002	3.0041380410896013
2003	6.1604990912363498
2004	3.0314085500888441
2005	3.0486568541620125
2006	-0.56871021165911761
2007	5.7349234591448690
2008	3.2386142487296912
2009	3.0938891682827774
2010	3.1420625632340924
2011	-6.6288791380747014
2012	-10.660929650923425
2013	2.8352437898381737
2014	2.2378141154525197
2015	4.7626341259893081
2016	7.9207445187221523
