X	Y	S	mean [ IRI FD ECHAM4p5 Forecast ca_sst ensemble24 MONTHLY st ]
degree_east	degree_north	months since 1960-01-01	Kelvin_scale
   -101.2500    	    32.09194    	   -24.00000    	    280.9377    
   -98.43750    	    32.09194    	   -24.00000    	    281.0626    
   -101.2500    	    29.30136    	   -24.00000    	    283.4530    
   -98.43750    	    29.30136    	   -24.00000    	    285.9956    
   -101.2500    	    32.09194    	   -23.00000    	    282.7323    
   -98.43750    	    32.09194    	   -23.00000    	    282.5099    
   -101.2500    	    29.30136    	   -23.00000    	    284.5928    
   -98.43750    	    29.30136    	   -23.00000    	    286.9405    
   -101.2500    	    32.09194    	   -22.00000    	    287.4148    
   -98.43750    	    32.09194    	   -22.00000    	    287.0414    
   -101.2500    	    29.30136    	   -22.00000    	    289.2269    
   -98.43750    	    29.30136    	   -22.00000    	    291.4885    
   -101.2500    	    32.09194    	   -21.00000    	    292.5724    
   -98.43750    	    32.09194    	   -21.00000    	    292.3417    
   -101.2500    	    29.30136    	   -21.00000    	    294.1409    
   -98.43750    	    29.30136    	   -21.00000    	    296.7599    
   -101.2500    	    32.09194    	   -20.00000    	    298.8896    
   -98.43750    	    32.09194    	   -20.00000    	    298.5987    
   -101.2500    	    29.30136    	   -20.00000    	    299.4405    
   -98.43750    	    29.30136    	   -20.00000    	    302.0256    
   -101.2500    	    32.09194    	   -19.00000    	    305.9003    
   -98.43750    	    32.09194    	   -19.00000    	    305.7704    
   -101.2500    	    29.30136    	   -19.00000    	    304.9209    
   -98.43750    	    29.30136    	   -19.00000    	    307.4523    
   -101.2500    	    32.09194    	   -18.00000    	    308.5751    
   -98.43750    	    32.09194    	   -18.00000    	    309.3343    
   -101.2500    	    29.30136    	   -18.00000    	    306.8907    
   -98.43750    	    29.30136    	   -18.00000    	    309.3055    
   -101.2500    	    32.09194    	   -17.00000    	    307.9513    
   -98.43750    	    32.09194    	   -17.00000    	    308.8340    
   -101.2500    	    29.30136    	   -17.00000    	    306.1487    
   -98.43750    	    29.30136    	   -17.00000    	    308.6360    
   -101.2500    	    32.09194    	   -16.00000    	    305.3644    
   -98.43750    	    32.09194    	   -16.00000    	    306.3353    
   -101.2500    	    29.30136    	   -16.00000    	    303.9435    
   -98.43750    	    29.30136    	   -16.00000    	    307.1337    
   -101.2500    	    32.09194    	   -15.00000    	    297.5169    
   -98.43750    	    32.09194    	   -15.00000    	    298.6817    
   -101.2500    	    29.30136    	   -15.00000    	    297.3616    
   -98.43750    	    29.30136    	   -15.00000    	    301.2351    
   -101.2500    	    32.09194    	   -14.00000    	    288.1939    
   -98.43750    	    32.09194    	   -14.00000    	    289.1815    
   -101.2500    	    29.30136    	   -14.00000    	    289.6816    
   -98.43750    	    29.30136    	   -14.00000    	    293.3494    
   -101.2500    	    32.09194    	   -13.00000    	    281.7856    
   -98.43750    	    32.09194    	   -13.00000    	    282.3074    
   -101.2500    	    29.30136    	   -13.00000    	    283.9147    
   -98.43750    	    29.30136    	   -13.00000    	    286.9704    
   -101.2500    	    32.09194    	   -12.00000    	    280.5213    
   -98.43750    	    32.09194    	   -12.00000    	    280.5276    
   -101.2500    	    29.30136    	   -12.00000    	    282.5028    
   -98.43750    	    29.30136    	   -12.00000    	    285.1876    
   -101.2500    	    32.09194    	   -11.00000    	    283.7274    
   -98.43750    	    32.09194    	   -11.00000    	    283.6536    
   -101.2500    	    29.30136    	   -11.00000    	    285.4701    
   -98.43750    	    29.30136    	   -11.00000    	    288.3687    
   -101.2500    	    32.09194    	  -10.000000    	    287.5738    
   -98.43750    	    32.09194    	  -10.000000    	    287.4341    
   -101.2500    	    29.30136    	  -10.000000    	    288.9813    
   -98.43750    	    29.30136    	  -10.000000    	    291.9108    
   -101.2500    	    32.09194    	   -9.000000    	    293.4787    
   -98.43750    	    32.09194    	   -9.000000    	    293.1313    
   -101.2500    	    29.30136    	   -9.000000    	    294.7135    
   -98.43750    	    29.30136    	   -9.000000    	    297.5483    
   -101.2500    	    32.09194    	   -8.000000    	    300.1996    
   -98.43750    	    32.09194    	   -8.000000    	    299.9321    
   -101.2500    	    29.30136    	   -8.000000    	    300.2642    
   -98.43750    	    29.30136    	   -8.000000    	    303.0352    
   -101.2500    	    32.09194    	   -7.000000    	    305.7422    
   -98.43750    	    32.09194    	   -7.000000    	    305.9532    
   -101.2500    	    29.30136    	   -7.000000    	    304.4348    
   -98.43750    	    29.30136    	   -7.000000    	    307.5915    
   -101.2500    	    32.09194    	   -6.000000    	    308.4192    
   -98.43750    	    32.09194    	   -6.000000    	    309.0408    
   -101.2500    	    29.30136    	   -6.000000    	    306.9620    
   -98.43750    	    29.30136    	   -6.000000    	    308.8913    
   -101.2500    	    32.09194    	   -5.000000    	    307.3517    
   -98.43750    	    32.09194    	   -5.000000    	    308.0953    
   -101.2500    	    29.30136    	   -5.000000    	    306.0119    
   -98.43750    	    29.30136    	   -5.000000    	    308.3860    
   -101.2500    	    32.09194    	   -4.000000    	    303.6405    
   -98.43750    	    32.09194    	   -4.000000    	    304.7251    
   -101.2500    	    29.30136    	   -4.000000    	    302.5125    
   -98.43750    	    29.30136    	   -4.000000    	    306.2530    
   -101.2500    	    32.09194    	   -3.000000    	    297.3505    
   -98.43750    	    32.09194    	   -3.000000    	    298.5430    
   -101.2500    	    29.30136    	   -3.000000    	    297.2531    
   -98.43750    	    29.30136    	   -3.000000    	    301.1443    
   -101.2500    	    32.09194    	   -2.000000    	    289.1674    
   -98.43750    	    32.09194    	   -2.000000    	    290.1448    
   -101.2500    	    29.30136    	   -2.000000    	    290.8347    
   -98.43750    	    29.30136    	   -2.000000    	    294.5861    
   -101.2500    	    32.09194    	  -1.0000000    	    282.7164    
   -98.43750    	    32.09194    	  -1.0000000    	    283.4672    
   -101.2500    	    29.30136    	  -1.0000000    	    284.8080    
   -98.43750    	    29.30136    	  -1.0000000    	    288.1631    
   -101.2500    	    32.09194    	   0.0000000E+00	    281.2589    
   -98.43750    	    32.09194    	   0.0000000E+00	    281.5765    
   -101.2500    	    29.30136    	   0.0000000E+00	    283.7966    
   -98.43750    	    29.30136    	   0.0000000E+00	    286.5634    
   -101.2500    	    32.09194    	   1.0000000    	    284.9545    
   -98.43750    	    32.09194    	   1.0000000    	    285.0351    
   -101.2500    	    29.30136    	   1.0000000    	    286.7660    
   -98.43750    	    29.30136    	   1.0000000    	    289.6693    
   -101.2500    	    32.09194    	    2.000000    	    288.6764    
   -98.43750    	    32.09194    	    2.000000    	    288.6741    
   -101.2500    	    29.30136    	    2.000000    	    290.5434    
   -98.43750    	    29.30136    	    2.000000    	    293.3546    
   -101.2500    	    32.09194    	    3.000000    	    295.3138    
   -98.43750    	    32.09194    	    3.000000    	    295.2529    
   -101.2500    	    29.30136    	    3.000000    	    296.2453    
   -98.43750    	    29.30136    	    3.000000    	    299.0773    
   -101.2500    	    32.09194    	    4.000000    	    300.2934    
   -98.43750    	    32.09194    	    4.000000    	    300.5311    
   -101.2500    	    29.30136    	    4.000000    	    300.2045    
   -98.43750    	    29.30136    	    4.000000    	    303.0897    
   -101.2500    	    32.09194    	    5.000000    	    306.4163    
   -98.43750    	    32.09194    	    5.000000    	    307.2502    
   -101.2500    	    29.30136    	    5.000000    	    304.9514    
   -98.43750    	    29.30136    	    5.000000    	    307.9977    
   -101.2500    	    32.09194    	    6.000000    	    309.0183    
   -98.43750    	    32.09194    	    6.000000    	    309.7303    
   -101.2500    	    29.30136    	    6.000000    	    307.3623    
   -98.43750    	    29.30136    	    6.000000    	    309.3962    
   -101.2500    	    32.09194    	    7.000000    	    308.1323    
   -98.43750    	    32.09194    	    7.000000    	    308.9793    
   -101.2500    	    29.30136    	    7.000000    	    306.8351    
   -98.43750    	    29.30136    	    7.000000    	    309.3926    
   -101.2500    	    32.09194    	    8.000000    	    304.9175    
   -98.43750    	    32.09194    	    8.000000    	    306.0686    
   -101.2500    	    29.30136    	    8.000000    	    303.4032    
   -98.43750    	    29.30136    	    8.000000    	    306.9988    
   -101.2500    	    32.09194    	    9.000000    	    298.0732    
   -98.43750    	    32.09194    	    9.000000    	    299.1229    
   -101.2500    	    29.30136    	    9.000000    	    298.0521    
   -98.43750    	    29.30136    	    9.000000    	    301.6831    
   -101.2500    	    32.09194    	   10.000000    	    289.5331    
   -98.43750    	    32.09194    	   10.000000    	    290.5495    
   -101.2500    	    29.30136    	   10.000000    	    291.5053    
   -98.43750    	    29.30136    	   10.000000    	    295.1280    
   -101.2500    	    32.09194    	    11.00000    	    282.5647    
   -98.43750    	    32.09194    	    11.00000    	    283.0289    
   -101.2500    	    29.30136    	    11.00000    	    284.7977    
   -98.43750    	    29.30136    	    11.00000    	    287.9291    
   -101.2500    	    32.09194    	    12.00000    	    281.6258    
   -98.43750    	    32.09194    	    12.00000    	    281.6752    
   -101.2500    	    29.30136    	    12.00000    	    283.9939    
   -98.43750    	    29.30136    	    12.00000    	    286.7439    
   -101.2500    	    32.09194    	    13.00000    	    284.1669    
   -98.43750    	    32.09194    	    13.00000    	    283.8901    
   -101.2500    	    29.30136    	    13.00000    	    286.2486    
   -98.43750    	    29.30136    	    13.00000    	    288.8447    
   -101.2500    	    32.09194    	    14.00000    	    289.1904    
   -98.43750    	    32.09194    	    14.00000    	    288.7403    
   -101.2500    	    29.30136    	    14.00000    	    291.3607    
   -98.43750    	    29.30136    	    14.00000    	    293.9331    
   -101.2500    	    32.09194    	    15.00000    	    295.5517    
   -98.43750    	    32.09194    	    15.00000    	    295.4404    
   -101.2500    	    29.30136    	    15.00000    	    296.2758    
   -98.43750    	    29.30136    	    15.00000    	    299.1010    
   -101.2500    	    32.09194    	    16.00000    	    300.8104    
   -98.43750    	    32.09194    	    16.00000    	    301.0864    
   -101.2500    	    29.30136    	    16.00000    	    300.5109    
   -98.43750    	    29.30136    	    16.00000    	    303.4438    
   -101.2500    	    32.09194    	    17.00000    	    306.6075    
   -98.43750    	    32.09194    	    17.00000    	    307.3038    
   -101.2500    	    29.30136    	    17.00000    	    305.2762    
   -98.43750    	    29.30136    	    17.00000    	    308.1205    
   -101.2500    	    32.09194    	    18.00000    	    308.3324    
   -98.43750    	    32.09194    	    18.00000    	    308.8497    
   -101.2500    	    29.30136    	    18.00000    	    306.9703    
   -98.43750    	    29.30136    	    18.00000    	    309.0152    
   -101.2500    	    32.09194    	    19.00000    	    307.7079    
   -98.43750    	    32.09194    	    19.00000    	    308.4741    
   -101.2500    	    29.30136    	    19.00000    	    306.3459    
   -98.43750    	    29.30136    	    19.00000    	    308.8143    
   -101.2500    	    32.09194    	    20.00000    	    304.2962    
   -98.43750    	    32.09194    	    20.00000    	    305.3854    
   -101.2500    	    29.30136    	    20.00000    	    302.9267    
   -98.43750    	    29.30136    	    20.00000    	    306.6123    
   -101.2500    	    32.09194    	    21.00000    	    298.2807    
   -98.43750    	    32.09194    	    21.00000    	    299.2396    
   -101.2500    	    29.30136    	    21.00000    	    298.1584    
   -98.43750    	    29.30136    	    21.00000    	    301.4264    
   -101.2500    	    32.09194    	    22.00000    	    289.5345    
   -98.43750    	    32.09194    	    22.00000    	    290.5579    
   -101.2500    	    29.30136    	    22.00000    	    291.3901    
   -98.43750    	    29.30136    	    22.00000    	    294.7915    
   -101.2500    	    32.09194    	    23.00000    	    282.7130    
   -98.43750    	    32.09194    	    23.00000    	    283.4720    
   -101.2500    	    29.30136    	    23.00000    	    285.1677    
