"","Year","Month","Lead","Obs","Clim","CFSv2","ECHAM4p5","Date","D_F"
"1",1982,1,1,22.1,27.3461,18.9379,19.0388,Jan 1982,0
"36",1982,2,1,23,40.1112,16.6246,26.7758,Feb 1982,0
"71",1982,3,1,21.4,54.4409,19.8574,14.7964,Mar 1982,0
"106",1982,4,1,3.6,60.8048,18.4762,15.3485,Apr 1982,0
"141",1982,5,1,1127,175.237,234.042,44.6302,May 1982,1
"176",1982,6,1,794.2,257.06,231.125,519.715,Jun 1982,1
"211",1982,7,1,115.5,117.05,148.741,335.675,Jul 1982,0
"246",1982,8,1,42.8,90.9749,161.589,65.1259,Aug 1982,0
"281",1982,9,1,1.21,102.048,158.095,51.7595,Sep 1982,0
"316",1982,10,1,0.993,119.596,13.6613,24.8508,Oct 1982,0
"351",1982,11,1,0.247,69.0037,0.345318,0.412664,Nov 1982,-1
"386",1982,12,1,6.58,39.503,0.146425,2.54333,Dec 1982,0
"2",1983,1,1,46.5,27.3461,19.4451,13.3813,Jan 1983,0
"37",1983,2,1,41.9,40.1112,61.9707,67.6151,Feb 1983,0
"72",1983,3,1,13.9,54.4409,39.092,14.8056,Mar 1983,0
"107",1983,4,1,5.78,60.8048,25.4599,9.49829,Apr 1983,0
"142",1983,5,1,478,175.237,93.7059,125.074,May 1983,1
"177",1983,6,1,37.4,257.06,449.184,240.2,Jun 1983,0
"212",1983,7,1,57.8,117.05,10.1826,3.23835,Jul 1983,0
"247",1983,8,1,2.61,90.9749,2.50247,15.4528,Aug 1983,0
"282",1983,9,1,0,102.048,23.2112,5.18863,Sep 1983,-1
"317",1983,10,1,743.6,119.596,4.04959,3.4724,Oct 1983,1
"352",1983,11,1,141.3,69.0037,448.155,502.23,Nov 1983,0
"387",1983,12,1,25.9,39.503,48.7134,47.7689,Dec 1983,0
"3",1984,1,1,26.1,27.3461,16.7364,16.4203,Jan 1984,0
"38",1984,2,1,13.9,40.1112,31.8685,27.1191,Feb 1984,0
"73",1984,3,1,6.31,54.4409,14.4688,21.1998,Mar 1984,0
"108",1984,4,1,1.26,60.8048,6.23336,5.70131,Apr 1984,0
"143",1984,5,1,0.499,175.237,54.5797,33.7133,May 1984,-1
"178",1984,6,1,1.33,257.06,107.427,25.5755,Jun 1984,0
"213",1984,7,1,0.257,117.05,0.527722,0.0825117,Jul 1984,-1
"248",1984,8,1,35.3,90.9749,46.948,0.188284,Aug 1984,0
"283",1984,9,1,89.1,102.048,81.1937,174.704,Sep 1984,0
"318",1984,10,1,207.9,119.596,19.3081,22.1725,Oct 1984,0
"353",1984,11,1,261.4,69.0037,99.5938,162.696,Nov 1984,1
"388",1984,12,1,164.7,39.503,138.04,134.194,Dec 1984,0
"4",1985,1,1,78.4,27.3461,29.9812,27.0189,Jan 1985,0
"39",1985,2,1,57.5,40.1112,89.8225,119.372,Feb 1985,0
"74",1985,3,1,59.2,54.4409,50.8298,44.3437,Mar 1985,0
"109",1985,4,1,254,60.8048,46.3856,60.2613,Apr 1985,1
"144",1985,5,1,405.1,175.237,110.25,42.7901,May 1985,1
"179",1985,6,1,303.7,257.06,157.127,353.325,Jun 1985,1
"214",1985,7,1,236.9,117.05,187.483,86.8445,Jul 1985,0
"249",1985,8,1,14.9,90.9749,262.167,71.8032,Aug 1985,0
"284",1985,9,1,69.2,102.048,30.7447,13.8963,Sep 1985,0
"319",1985,10,1,739.8,119.596,7.9671,16.5465,Oct 1985,1
"354",1985,11,1,48.8,69.0037,860.331,659.057,Nov 1985,0
"389",1985,12,1,28.8,39.503,49.0019,42.4233,Dec 1985,0
"5",1986,1,1,18.4,27.3461,19.3969,18.1344,Jan 1986,0
"40",1986,2,1,17.9,40.1112,19.3728,25.4764,Feb 1986,0
"75",1986,3,1,8.48,54.4409,32.5338,12.2901,Mar 1986,0
"110",1986,4,1,78.5,60.8048,10.5795,6.43571,Apr 1986,0
"145",1986,5,1,79.5,175.237,37.9668,65.0477,May 1986,0
"180",1986,6,1,492.7,257.06,106.712,185.196,Jun 1986,1
"215",1986,7,1,149,117.05,124.254,115.418,Jul 1986,0
"250",1986,8,1,302.5,90.9749,174.366,32.6669,Aug 1986,1
"285",1986,9,1,719.3,102.048,222.892,290.409,Sep 1986,1
"320",1986,10,1,683.5,119.596,38.6012,10.6574,Oct 1986,1
